algorithm_name,run_id,TOTAL_TAGS,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
Fixed (rho=2),5,700,0.1,99295.0,0.09929500000000004,0.0007830360000000004,22,0,22,0,0.0,99.295,0.099295,0.10007803600000004,31.818181818181817,142.96862285714292,2.8198801550934083,7049.700387733522,0.009937248584620003,1.0
Fixed (rho=3),13,600,0.1,100527.5,0.10052750000000006,0.0007158375,19,0,19,0,0.0,100.5275,0.1005275,0.10124333750000006,31.57894736842105,168.73889583333343,2.3874064310760734,5968.516077690184,0.010177739610531256,1.0
Adaptive (Ours),15,400,0.1,62552.5,0.06255250000000002,0.0003144869999999999,14,0,14,0,0.0,62.5525,0.0625525,0.06286698700000003,28.571428571428573,157.16746750000007,2.557851404819951,6394.628512049879,0.003932487204317501,1.0
Adaptive (Ours),2,100,0.1,20450.0,0.020449999999999996,4.0162499999999994e-05,5,0,5,0,0.0,20.45,0.02045,0.020490162499999996,20.0,204.90162499999994,1.9559902200488999,4889.97555012225,0.0004190238231249999,1.0
Fixed (rho=3),4,300,0.1,51737.5,0.051737500000000006,0.00022559175000000001,10,0,10,0,0.0,51.7375,0.0517375,0.05196309175,30.0,173.21030583333334,2.3194008214544577,5798.502053636144,0.002688440459415625,1.0
Fixed (rho=3),7,500,0.1,84260.0,0.08426000000000003,0.0005229855000000002,16,0,16,0,0.0,84.26,0.08426,0.08478298550000003,31.25,169.56597100000008,2.3736055067647754,5934.0137669119395,0.007143814358230003,1.0
Fixed (rho=3),15,200,0.1,35482.5,0.0354825,0.00012097349999999999,7,0,7,0,0.0,35.4825,0.0354825,0.0356034735,28.571428571428573,178.0173675,2.2546325653491155,5636.581413372789,0.0012633002484637502,1.0
Fixed (rho=3),1,600,0.1,100527.5,0.10052750000000006,0.0007158375000000002,19,0,19,0,0.0,100.5275,0.1005275,0.10124333750000006,31.57894736842105,168.73889583333343,2.3874064310760734,5968.516077690184,0.010177739610531256,1.0
Adaptive (Ours),3,800,0.1,117610.0,0.11761000000000002,0.0010272599999999995,26,0,26,0,0.0,117.61,0.11761,0.11863726000000002,30.76923076923077,148.29657500000002,2.720857069977043,6802.142674942606,0.013952928148600004,1.0
Adaptive (Ours),0,1000,0.1,147267.5,0.14726750000000008,0.0015495345,33,0,33,0,0.0,147.2675,0.1472675,0.14881703450000008,30.303030303030305,148.8170345000001,2.716145789125231,6790.3644728130785,0.021915912628228763,1.0
Fixed (rho=2),4,300,0.1,44237.5,0.04423750000000001,0.00018630675,10,0,10,0,0.0,44.2375,0.0442375,0.04442380675000001,30.0,148.07935583333338,2.712630686634643,6781.576716586606,0.0019651981511031253,1.0
Adaptive (Ours),16,300,0.1,48785.0,0.048785000000000016,0.000198405,11,0,11,0,0.0,48.785,0.048785,0.048983405000000015,27.272727272727273,163.2780166666667,2.4597724710464286,6149.43117761607,0.0023896554129250007,1.0
Adaptive (Ours),4,400,0.1,62552.5,0.06255250000000002,0.0003142710000000001,14,0,14,0,0.0,62.5525,0.0625525,0.06286677100000003,28.571428571428573,157.16692750000007,2.557851404819951,6394.628512049879,0.0039324736929775015,1.0
Fixed (rho=4),8,300,0.1,85765.0,0.08576500000000001,0.000298881,19,0,19,0,0.0,85.765,0.085765,0.08606388100000001,15.789473684210526,286.87960333333336,1.3991721564740862,3497.9303911852157,0.0073812687539650005,1.0
Fixed (rho=4),9,300,0.1,85765.0,0.08576500000000001,0.00029884500000000006,19,0,19,0,0.0,85.765,0.085765,0.08606384500000001,15.789473684210526,286.8794833333334,1.3991721564740862,3497.9303911852157,0.007381265666425001,1.0
Fixed (rho=4),1,700,0.1,199140.0,0.19914000000000015,0.0014120594999999998,44,0,44,0,0.0,199.14,0.19914,0.20055205950000016,15.909090909090908,286.50294214285736,1.4060459977904993,3515.114994476248,0.03993793712883004,1.0
Fixed (rho=4),13,700,0.1,199140.0,0.19914000000000015,0.0014120955,44,0,44,0,0.0,199.14,0.19914,0.20055209550000014,15.909090909090908,286.50299357142876,1.4060459977904993,3515.114994476248,0.03993794429787003,1.0
Adaptive (Ours),7,400,0.1,62552.5,0.06255250000000002,0.00031441499999999996,14,0,14,0,0.0,62.5525,0.0625525,0.06286691500000002,28.571428571428573,157.16728750000004,2.557851404819951,6394.628512049879,0.0039324827005375014,1.0
Fixed (rho=2),3,500,0.1,71760.0,0.07176000000000005,0.00043468650000000016,16,0,16,0,0.0,71.76,0.07176,0.07219468650000005,31.25,144.38937300000012,2.7870680044593086,6967.670011148271,0.0051806907032400035,1.0
Adaptive (Ours),1,200,0.1,34205.0,0.03420499999999999,0.00010522799999999999,8,0,8,0,0.0,34.205,0.034205,0.03431022799999999,25.0,171.55113999999995,2.3388393509720804,5847.0983774302,0.0011735813487399997,1.0
Fixed (rho=2),10,1000,0.1,142720.0,0.14272000000000007,0.0015089714999999995,32,0,32,0,0.0,142.72,0.14272,0.14422897150000008,31.25,144.22897150000009,2.802690582959641,7006.726457399102,0.020584358812480014,1.0
Fixed (rho=4),14,300,0.1,85765.0,0.08576500000000001,0.00029888100000000003,19,0,19,0,0.0,85.765,0.085765,0.08606388100000001,15.789473684210526,286.87960333333336,1.3991721564740862,3497.9303911852157,0.0073812687539650005,1.0
Adaptive (Ours),7,900,0.1,133512.5,0.13351250000000003,0.0012836767499999995,30,0,30,0,0.0,133.5125,0.1335125,0.13479617675000002,30.0,149.77352972222224,2.6963767437505854,6740.941859376462,0.01799697454833438,1.0
Fixed (rho=3),16,400,0.1,68005.0,0.06800500000000001,0.00035945999999999987,13,0,13,0,0.0,68.005,0.068005,0.06836446000000002,30.76923076923077,170.91115000000005,2.352768178810382,5881.920447025955,0.0046491251023000005,1.0
Adaptive (Ours),13,900,0.1,133512.5,0.13351250000000003,0.0012838769999999997,30,0,30,0,0.0,133.5125,0.1335125,0.13479637700000002,30.0,149.77375222222227,2.6963767437505854,6740.941859376462,0.017997001284212503,1.0
Fixed (rho=3),12,600,0.1,100527.5,0.10052750000000006,0.0007158374999999999,19,0,19,0,0.0,100.5275,0.1005275,0.10124333750000006,31.57894736842105,168.73889583333343,2.3874064310760734,5968.516077690184,0.010177739610531256,1.0
Fixed (rho=3),6,500,0.1,84260.0,0.08426000000000003,0.0005228235,16,0,16,0,0.0,84.26,0.08426,0.08478282350000003,31.25,169.56564700000007,2.3736055067647754,5934.0137669119395,0.007143800708110003,1.0
Fixed (rho=2),17,400,0.1,58005.0,0.05800500000000003,0.00029797199999999997,13,0,13,0,0.0,58.005,0.058005,0.05830297200000003,30.76923076923077,145.75743000000008,2.7583828980260323,6895.95724506508,0.003381863890860002,1.0
Fixed (rho=3),1,1000,0.1,168545.0,0.16854500000000017,0.0018063179999999997,32,0,32,0,0.0,168.545,0.168545,0.17035131800000017,31.25,170.35131800000016,2.3732534338010622,5933.133584502655,0.02871186289231003,1.0
Fixed (rho=2),11,900,0.1,128965.0,0.12896500000000002,0.001246842,29,0,29,0,0.0,128.965,0.128965,0.13021184200000002,31.03448275862069,144.67982444444448,2.7914550459426977,6978.637614856744,0.016792770203530004,1.0
Fixed (rho=3),11,400,0.1,68005.0,0.06800500000000001,0.00035935199999999996,13,0,13,0,0.0,68.005,0.068005,0.068364352,30.76923076923077,170.91088,2.352768178810382,5881.920447025955,0.00464911775776,1.0
Adaptive (Ours),6,100,0.1,20450.0,0.020449999999999996,4.01625e-05,5,0,5,0,0.0,20.45,0.02045,0.020490162499999996,20.0,204.90162499999994,1.9559902200488999,4889.97555012225,0.0004190238231249999,1.0
Fixed (rho=2),5,400,0.1,58005.0,0.05800500000000003,0.0002981159999999999,13,0,13,0,0.0,58.005,0.058005,0.05830311600000003,30.76923076923077,145.75779000000009,2.7583828980260323,6895.95724506508,0.003381872243580002,1.0
Fixed (rho=2),11,800,0.1,113062.5,0.11306250000000002,0.0009945179999999994,25,0,25,0,0.0,113.0625,0.1130625,0.11405701800000002,32.0,142.57127250000002,2.830292979546711,7075.732448866777,0.012895571597625003,1.0
Fixed (rho=2),14,400,0.1,58005.0,0.05800500000000003,0.0002979,13,0,13,0,0.0,58.005,0.058005,0.058302900000000026,30.76923076923077,145.75725000000006,2.7583828980260323,6895.95724506508,0.0033818597145000013,1.0
Adaptive (Ours),13,600,0.1,90075.0,0.09007500000000003,0.000620928,20,0,20,0,0.0,90.075,0.090075,0.09069592800000004,30.0,151.15988000000007,2.6644462947543714,6661.1157368859285,0.008169435714600003,1.0
Fixed (rho=3),6,100,0.1,18402.5,0.018402499999999995,4.454775e-05,4,0,4,0,0.0,18.4025,0.0184025,0.018447047749999994,25.0,184.47047749999993,2.173617714984377,5434.044287460943,0.00033947179621937487,1.0
Fixed (rho=2),11,1000,0.1,142720.0,0.14272000000000007,0.0015086069999999995,32,0,32,0,0.0,142.72,0.14272,0.14422860700000006,31.25,144.22860700000007,2.802690582959641,7006.726457399102,0.02058430679104001,1.0
