TOTAL_TAGS,Adaptive (Ours),Fixed (rho=2),Fixed (rho=3),Fixed (rho=4)
100,204.90212562499997,159.38619812500002,184.47113562499993,276.37087364999996
200,171.55196012499997,148.77353262499997,178.0164765,276.71266187500004
300,163.2781066666667,148.0788458333334,173.20954083333334,286.8795193333334
400,157.16713450000006,145.75745700000007,170.91092050000003,284.68345999999997
500,153.5254031000001,144.3894756000001,169.56580090000006,283.4406371
600,151.15994000000006,143.5398458333334,168.73898583333343,282.7163008333335
700,149.50594164285718,142.9685855714286,168.19055835714295,286.5029910000002
800,148.29657500000002,142.57127250000002,167.81607250000016,285.7038350000003
900,149.77368547222224,144.67998019444448,169.94704919444456,285.11403564166693
1000,148.81718030000008,144.22875280000008,170.35112360000016,284.71428069499996
