TOTAL_TAGS,Adaptive (Ours),Fixed (rho=2),Fixed (rho=3),Fixed (rho=4)
100,4889.97555012225,6288.319446627888,5434.044287460943,3625.15860068878
200,5847.0983774302,6743.656747871532,5636.581413372789,3624.3374258143435
300,6149.43117761607,6781.576716586607,5798.502053636144,3497.9303911852157
400,6394.628512049879,6895.957245065079,5881.920447025955,3528.114663726571
500,6552.435868033942,6967.670011148271,5934.0137669119395,3546.7910408058315
600,6661.115736885929,7015.287480634883,5968.516077690184,3559.088280218884
700,6740.9779232973,7049.700387733521,5993.4072520227755,3515.1149944762483
800,6802.1426749426055,7075.732448866777,6012.212306247065,3528.114663726571
900,6740.941859376462,6978.637614856745,5941.966791007824,3538.9878494750506
1000,6790.364472813078,7006.726457399102,5933.133584502655,3546.7910408058315
