TOTAL_TAGS,Adaptive (Ours),Fixed (rho=2),Fixed (rho=3),Fixed (rho=4)
100,1.9559902200488999,2.5153277786511556,2.173617714984377,1.450063440275512
200,2.3388393509720804,2.6974626991486135,2.2546325653491155,1.4497349703257374
300,2.4597724710464286,2.712630686634643,2.3194008214544577,1.3991721564740862
400,2.557851404819951,2.7583828980260323,2.352768178810382,1.4112458654906284
500,2.6209743472135765,2.7870680044593086,2.3736055067647754,1.4187164163223325
600,2.6644462947543714,2.806114992253953,2.3874064310760734,1.4236353120875536
700,2.6963911693189204,2.8198801550934083,2.3973629008091097,1.4060459977904993
800,2.720857069977043,2.830292979546711,2.404884922498826,1.4112458654906284
900,2.6963767437505854,2.7914550459426977,2.3767867164031293,1.41559513979002
1000,2.716145789125231,2.802690582959641,2.3732534338010622,1.4187164163223325
