TOTAL_TAGS,Adaptive (Ours),Fixed (rho=2),Fixed (rho=3),Fixed (rho=4)
100,0.020449999999999996,0.0159025,0.018402499999999995,0.027585
200,0.03420499999999999,0.029657499999999996,0.0354825,0.05518250000000001
300,0.048785000000000016,0.04423750000000001,0.051737500000000006,0.08576500000000001
400,0.06255250000000002,0.05800500000000003,0.06800500000000001,0.11337499999999998
500,0.07630750000000004,0.07176000000000005,0.08426000000000003,0.1409725
600,0.09007500000000003,0.08552750000000003,0.10052750000000006,0.16858250000000008
700,0.10384250000000003,0.09929500000000004,0.11679500000000007,0.19914000000000015
800,0.11761000000000002,0.11306250000000002,0.1330625000000001,0.22675000000000023
900,0.13351250000000003,0.12896500000000002,0.15146500000000013,0.25431000000000026
1000,0.14726750000000008,0.14272000000000007,0.16854500000000017,0.281945
