TOTAL_TAGS,Adaptive (Ours),Fixed (rho=2),Fixed (rho=3),Fixed (rho=4)
100,4.02125625e-05,3.6119812500000004e-05,4.4613562499999997e-05,5.2087365e-05
200,0.00010539202499999999,9.7206525e-05,0.00012079529999999999,0.00016003237499999997
300,0.000198432,0.00018615375,0.00022536225,0.0002988558
400,0.00031435379999999996,0.00029798279999999997,0.0003593681999999999,0.0004983839999999998
500,0.0004552015500000002,0.00043473780000000015,0.0005229004500000001,0.0007478185499999997
600,0.0006209640000000001,0.0005964075000000001,0.0007158915000000001,0.0010472805000000004
700,0.0008116591500000004,0.0007830099000000004,0.0009383908500000003,0.0014120937
800,0.0010272599999999997,0.0009945179999999994,0.0011903579999999999,0.0018130679999999993
900,0.0012838169249999997,0.0012469821749999997,0.0014873442749999994,0.0022926320774999988
1000,0.0015496802999999996,0.0015087527999999995,0.0018061235999999997,0.002769280695000001
