TOTAL_TAGS,Adaptive (Ours),Fixed (rho=2),Fixed (rho=3),Fixed (rho=4)
100,0.02045,0.0159025,0.0184025,0.027585
200,0.034205,0.029657499999999996,0.0354825,0.0551825
300,0.048785,0.0442375,0.051737500000000006,0.085765
400,0.0625525,0.058004999999999994,0.068005,0.113375
500,0.0763075,0.07176,0.08426,0.1409725
600,0.090075,0.0855275,0.10052750000000002,0.1685825
700,0.10384250000000002,0.099295,0.11679500000000001,0.19914
800,0.11761000000000002,0.1130625,0.1330625,0.22675
900,0.1335125,0.128965,0.151465,0.25431
1000,0.1472675,0.14272,0.168545,0.281945
