TOTAL_TAGS,Adaptive (Ours),Fixed (rho=2),Fixed (rho=3),Fixed (rho=4)
100,20.0,25.0,25.0,16.666666666666668
200,25.0,28.571428571428573,28.571428571428573,16.666666666666668
300,27.272727272727273,30.0,30.0,15.789473684210526
400,28.571428571428573,30.769230769230766,30.769230769230766,16.0
500,29.411764705882355,31.25,31.25,16.129032258064516
600,30.0,31.57894736842105,31.57894736842105,16.216216216216218
700,30.43478260869565,31.81818181818182,31.81818181818182,15.90909090909091
800,30.769230769230766,32.0,32.0,16.0
900,30.0,31.03448275862069,31.03448275862069,16.071428571428573
1000,30.303030303030305,31.25,31.25,16.129032258064516
