TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,1.0,1.0,1.0,1.0,0.994,1.0,1.0,1.0
200,1.0,1.0,1.0,1.0,0.9960000000000001,1.0,1.0,1.0
300,1.0,1.0,1.0,1.0,0.9960000000000001,1.0,1.0,1.0
400,1.0,1.0,1.0,1.0,0.9964999999999999,1.0,1.0,1.0
500,1.0,1.0,1.0,1.0,0.9964000000000001,1.0,1.0,1.0
600,1.0,1.0,1.0,1.0,0.9983333333333333,1.0,1.0,1.0
700,1.0,1.0,1.0,1.0,0.9974285714285716,1.0,1.0,1.0
800,1.0,1.0,1.0,1.0,0.9957499999999999,1.0,1.0,1.0
900,1.0,1.0,1.0,1.0,0.9942222222222222,1.0,1.0,1.0
1000,1.0,1.0,1.0,1.0,0.9962,1.0,1.0,1.0
