TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,12.0,7.0,6.0,5.0,24.85,4.0,4.0,13.0
200,25.0,13.0,12.0,8.0,49.8,7.0,7.0,25.0
300,37.0,19.0,19.0,11.0,74.7,10.0,10.0,38.0
400,50.0,25.0,25.0,14.0,99.65,13.0,13.0,50.0
500,62.0,32.0,31.0,17.0,124.55,17.0,17.0,63.0
600,75.0,38.0,37.0,20.0,149.75,20.0,20.0,75.0
700,87.0,44.0,44.0,23.0,174.55,23.0,23.0,88.0
800,100.0,50.0,50.0,26.0,199.15,26.0,26.0,100.0
900,112.0,57.0,56.0,30.0,223.7,29.0,29.0,113.0
1000,125.0,63.0,62.0,33.0,249.05,32.0,32.0,125.0
