TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,0.0011376286756962814,0.0006951486558465624,0.000585954181572025,0.00041902484690312493,0.003457883578817498,0.00033570655704212495,0.00033570655704212495,0.001230227691926625
200,0.004300521845887966,0.0024013155798323126,0.0021946149510409375,0.0011735869592151248,0.013749903677070009,0.0010312883713623623,0.0010312883713623623,0.004300521845887966
300,0.009396608019523868,0.005254458195688001,0.005254458195688001,0.002389656730120001,0.030894620970482522,0.0021099480458143752,0.0021099480458143752,0.009655000700253992
400,0.016594412165410927,0.009059026296190004,0.009059026296190004,0.003932478872324501,0.05491043608798006,0.0035697872657452514,0.0035697872657452514,0.016594412165410927
500,0.025670913566770155,0.014407187643247004,0.013895226862629631,0.005857569848526628,0.08581575307810525,0.005857569848526628,0.005857569848526628,0.026101099698456254
600,0.03693063810985425,0.02037755886432297,0.019771177202318253,0.008169438957300003,0.12362897209406558,0.008169438957300003,0.008169438957300003,0.03693063810985425
700,0.05001658525558007,0.02766177704676399,0.02766177704676399,0.01086754952153388,0.1683684901353785,0.01086754952153388,0.01086754952153388,0.0506115006514288
800,0.0653521168753201,0.03575576602641997,0.03575576602641997,0.013952928148600002,0.22005271261692147,0.013952928148600002,0.013952928148600002,0.0653521168753201
900,0.08244118291390637,0.04580847912052858,0.04487856476523748,0.017996993263449067,0.2787000422173017,0.017419735206269552,0.017419735206269552,0.08322911814861067
1000,0.10190183290648278,0.05608911654458119,0.055073098117383715,0.02191593409983026,0.34429116516120156,0.02128594239094276,0.02128594239094276,0.10190183290648278
