TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,337.500163375,263.86360062499995,242.28000064999992,204.90212562499997,588.3255769999997,183.42114850000002,183.42114850000002,350.94214574999995
200,328.22147268749984,245.320077625,234.555116875,171.55196012499997,586.8503490000003,160.84978107499995,160.84978107499995,328.22147268749984
300,323.5913707499998,242.03497066666668,242.03497066666668,163.2781066666667,586.7088443333339,153.43681816666668,153.43681816666668,328.0081093333331
400,322.6601626562498,238.45818100000005,238.45818100000005,157.16713450000006,586.9007705000006,149.78966371875006,149.78966371875006,322.6601626562498
500,321.1975797400001,240.6813839500001,236.36865530000009,153.5254031000001,587.2260924000017,153.5254031000001,153.5254031000001,323.8751668750001
600,321.18485952083364,238.63964802083336,235.06473350000002,151.15994000000006,587.6181001666694,151.15994000000006,151.15994000000006,321.18485952083364
700,320.52873071428616,238.42659799999993,238.42659799999993,149.50594164285718,588.0481987142891,149.50594164285718,149.50594164285718,322.42837012500047
800,320.73084450000044,237.2960314999998,237.2960314999998,148.29657500000002,588.502119750004,148.29657500000002,148.29657500000002,320.73084450000044
900,320.35992532777794,238.85267197222197,236.4282014194442,149.77368547222224,588.9719244444481,147.36760575833335,147.36760575833335,321.876744027778
1000,320.6855211249999,237.97582249999974,235.8136466949997,148.81718030000008,589.4205552000027,146.66558070000005,146.66558070000005,320.6855211249999
