TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,2966.6988059037303,3795.7866767887645,4134.794293983874,4889.97555012225,1701.4036580178647,5463.734462505123,5463.734462505123,2852.660105548424
200,3052.852509063156,4086.427951167186,4275.102869662802,5847.0983774302,1707.2129748186085,6238.789674803088,6238.789674803088,3052.852509063156
300,3099.3336432666974,4145.650521661024,4145.650521661024,6149.43117761607,1709.1582395670134,6544.85955822198,6544.85955822198,3057.5585395062044
400,3111.024693758507,4211.63464069492,4211.63464069492,6394.628512049879,1710.1325352714837,6713.66230278617,6713.66230278617,3111.024693758507
500,3128.0302793331043,4176.41162712997,4252.695145548491,6552.435868033942,1710.7176460525193,6552.435868033942,6552.435868033942,3102.121851346321
600,3130.91122562129,4215.925659177543,4280.134824246964,6661.115736885929,1711.1079423926992,6661.115736885929,6661.115736885929,3130.91122562129
700,3140.139960523955,4223.482563050561,4223.482563050561,6740.9779232973,1711.3868345455655,6740.9779232973,6740.9779232973,3121.6205670200784
800,3140.950137416569,4247.411733474914,4247.411733474914,6802.1426749426055,1711.5960633290547,6802.1426749426055,6802.1426749426055,3140.950137416569
900,3147.596023537024,4223.468406109951,4267.2229861078185,6740.941859376462,1711.7588322000854,6852.4440383736855,6852.4440383736855,3132.559475122257
1000,3147.004445143779,4242.816381514049,4281.83005416515,6790.364472813078,1711.9828990424587,6890.25545622104,6890.25545622104,3147.004445143779
