TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,33.7075,26.345,24.185,20.45,58.775,18.3025,18.3025,35.055
200,65.5125,48.9425,46.7825,34.205,117.15,32.0575,32.0575,65.5125
300,96.795,72.365,72.365,48.785,175.525,45.8375,45.8375,98.1175
400,128.575,94.975,94.975,62.552499999999995,233.9,59.58,59.58,128.575
500,159.845,119.72,117.57250000000002,76.3075,292.275,76.3075,76.3075,161.18
600,191.6375,142.3175,140.1825,90.075,350.65,90.075,90.075,191.6375
700,222.92,165.74,165.74,103.8425,409.025,103.8425,103.8425,224.2425
800,254.7,188.35,188.35,117.60999999999999,467.4,117.60999999999999,117.60999999999999,254.7
900,285.9325,213.09499999999997,210.91,133.5125,525.775,131.34,131.34,287.305
1000,317.7625,235.69250000000002,233.545,147.2675,584.118,145.1325,145.1325,317.7625
