TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,0.0337075,0.026345,0.024185,0.02045,0.058775,0.0183025,0.0183025,0.035055
200,0.0655125,0.0489425,0.0467825,0.034205,0.11715,0.0320575,0.0320575,0.0655125
300,0.096795,0.072365,0.072365,0.048785,0.175525,0.0458375,0.0458375,0.0981175
400,0.128575,0.094975,0.094975,0.0625525,0.2339,0.05958,0.05958,0.128575
500,0.159845,0.11972000000000001,0.1175725,0.0763075,0.292275,0.0763075,0.0763075,0.16118
600,0.1916375,0.1423175,0.1401825,0.090075,0.35065,0.090075,0.090075,0.1916375
700,0.22292,0.16574,0.16574,0.10384250000000002,0.409025,0.10384250000000002,0.10384250000000002,0.22424249999999998
800,0.2547,0.18835,0.18835,0.11761000000000002,0.4673999999999999,0.11761000000000002,0.11761000000000002,0.2547
900,0.2859325,0.21309499999999998,0.21091,0.1335125,0.525775,0.13134,0.13134,0.287305
1000,0.3177625,0.2356925,0.23354499999999997,0.1472675,0.5841179999999999,0.1451325,0.1451325,0.3177625
