TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,33707.5,26345.0,24185.0,20450.0,58775.0,18302.5,18302.5,35055.0
200,65512.5,48942.5,46782.5,34205.0,117150.0,32057.5,32057.5,65512.5
300,96795.0,72365.0,72365.0,48785.0,175525.0,45837.5,45837.5,98117.5
400,128575.0,94975.0,94975.0,62552.5,233900.0,59580.0,59580.0,128575.0
500,159845.0,119720.0,117572.5,76307.5,292275.0,76307.5,76307.5,161180.0
600,191637.5,142317.5,140182.5,90075.0,350650.0,90075.0,90075.0,191637.5
700,222920.0,165740.0,165740.0,103842.5,409025.0,103842.5,103842.5,224242.5
800,254700.0,188350.0,188350.0,117610.0,467400.0,117610.0,117610.0,254700.0
900,285932.5,213095.0,210910.0,133512.5,525775.0,131340.0,131340.0,287305.0
1000,317762.5,235692.5,233545.0,147267.5,584118.0,145132.5,145132.5,317762.5
