TOTAL_TAGS,GS=12,GS=16,GS=24,GS=32,GS=4,GS=48,GS=64,GS=8
100,8.333333333333334,14.285714285714286,16.666666666666668,20.0,4.0,25.0,25.0,7.692307692307692
200,8.0,15.384615384615383,16.666666666666668,25.0,4.0,28.571428571428573,28.571428571428573,8.0
300,8.108108108108109,15.789473684210526,15.789473684210526,27.272727272727273,4.0,30.0,30.0,7.894736842105263
400,8.0,16.0,16.0,28.571428571428573,4.0,30.769230769230766,30.769230769230766,8.0
500,8.064516129032258,15.625,16.129032258064516,29.411764705882355,4.0,29.411764705882355,29.411764705882355,7.936507936507937
600,8.0,15.789473684210526,16.216216216216218,30.0,4.0,30.0,30.0,8.0
700,8.045977011494253,15.90909090909091,15.90909090909091,30.43478260869565,4.0,30.43478260869565,30.43478260869565,7.954545454545455
800,8.0,16.0,16.0,30.769230769230766,4.0,30.769230769230766,30.769230769230766,8.0
900,8.035714285714286,15.789473684210526,16.071428571428573,30.0,4.0,31.03448275862069,31.03448275862069,7.964601769911505
1000,8.0,15.873015873015873,16.129032258064516,30.303030303030305,4.0,31.25,31.25,8.0
