algorithm_name,run_id,MISSING_RATE,TOTAL_TAGS,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,noise_rate_pct,missing_rate_pct,ENABLE_NOISE,packet_error_rate,ENABLE_CAPTURE_EFFECT,CAPTURE_RATIO_DB,ENABLE_ENERGY_TRACKING,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
Fixed (rho=2),6,0.1,500,71760.0,0.07176000000000005,0.00043474050000000015,16,0,16,0,0.0,0.0,10.0,False,0.0,False,3.0,True,71.76,0.07176,0.07219474050000005,31.25,144.38948100000007,2.7870680044593086,6967.670011148271,0.005180694578280004,1.0
Fixed (rho=2),4,0.1,500,71760.0,0.07176000000000005,0.0004347405000000001,16,0,16,0,0.0,0.0,10.0,False,0.0,False,3.0,True,71.76,0.07176,0.07219474050000005,31.25,144.38948100000007,2.7870680044593086,6967.670011148271,0.005180694578280004,1.0
Adaptive (Ours),17,0.25,500,76307.5,0.07630750000000004,0.0003793908750000001,17,0,17,0,0.0,0.0,25.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07668689087500004,29.41176470588235,153.3737817500001,2.6209743472135765,6552.435868033942,0.005851784925444066,1.0
Fixed (rho=2),4,0.01,500,71760.0,0.07176000000000005,0.0004782577499999999,16,0,16,0,0.0,0.0,1.0,False,0.0,False,3.0,True,71.76,0.07176,0.07223825775000005,31.25,144.4765155000001,2.7870680044593086,6967.670011148271,0.005183817376140004,1.0
Fixed (rho=4),7,0.5,500,140972.5,0.1409725,0.0004154897499999999,31,0,31,0,0.0,0.0,50.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.14138798975,16.129032258064516,282.7759795,1.4187164163223325,3546.791040805831,0.019931818385031875,1.0
Adaptive (Ours),8,0.25,500,76307.5,0.07630750000000004,0.00037928287500000013,17,0,17,0,0.0,0.0,25.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07668678287500004,29.41176470588235,153.37356575000007,2.6209743472135765,6552.435868033942,0.005851776684234066,1.0
Adaptive (Ours),2,0.5,500,76307.5,0.07630750000000004,0.00025283725000000004,17,0,17,0,0.0,0.0,50.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07656033725000004,29.41176470588235,153.1206745000001,2.6209743472135765,6552.435868033942,0.005842127934704378,1.0
Adaptive (Ours),14,0.05,500,76307.5,0.07630750000000004,0.00048049337499999993,17,0,17,0,0.0,0.0,5.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07678799337500004,29.41176470588235,153.5759867500001,2.6209743472135765,6552.435868033942,0.005859499804462816,1.0
Fixed (rho=4),7,0.05,500,140972.5,0.1409725,0.0007893621249999998,31,0,31,0,0.0,0.0,5.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141761862125,16.129032258064516,283.52372425,1.4187164163223325,3546.791040805831,0.019984524108416564,1.0
Fixed (rho=2),1,0.01,500,71760.0,0.07176000000000005,0.00047820374999999995,16,0,16,0,0.0,0.0,1.0,False,0.0,False,3.0,True,71.76,0.07176,0.07223820375000005,31.25,144.47640750000008,2.7870680044593086,6967.670011148271,0.005183813501100004,1.0
Fixed (rho=2),13,0.25,500,71760.0,0.07176000000000005,0.0003622297500000001,16,0,16,0,0.0,0.0,25.0,False,0.0,False,3.0,True,71.76,0.07176,0.07212222975000004,31.25,144.2444595000001,2.7870680044593086,6967.670011148271,0.005175491206860004,1.0
Fixed (rho=4),15,0.01,500,140972.5,0.1409725,0.0008226056250000001,31,0,31,0,0.0,0.0,1.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141795105625,16.129032258064516,283.59021125,1.4187164163223325,3546.791040805831,0.019989210527720312,1.0
Fixed (rho=4),17,0.25,500,140972.5,0.1409725,0.0006231446249999996,31,0,31,0,0.0,0.0,25.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141595644625,16.129032258064516,283.19128924999995,1.4187164163223325,3546.791040805831,0.019961092011897812,1.0
Fixed (rho=2),3,0.05,500,71760.0,0.07176000000000005,0.0004589467499999999,16,0,16,0,0.0,0.0,5.0,False,0.0,False,3.0,True,71.76,0.07176,0.07221894675000004,31.25,144.4378935000001,2.7870680044593086,6967.670011148271,0.005182431618780003,1.0
Fixed (rho=4),9,0.5,500,140972.5,0.1409725,0.00041548975,31,0,31,0,0.0,0.0,50.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.14138798975,16.129032258064516,282.7759795,1.4187164163223325,3546.791040805831,0.019931818385031875,1.0
Fixed (rho=2),19,0.05,500,71760.0,0.07176000000000005,0.0004588387499999999,16,0,16,0,0.0,0.0,5.0,False,0.0,False,3.0,True,71.76,0.07176,0.07221883875000004,31.25,144.4376775000001,2.7870680044593086,6967.670011148271,0.005182423868700004,1.0
Fixed (rho=2),11,0.05,500,71760.0,0.07176000000000005,0.00045889274999999995,16,0,16,0,0.0,0.0,5.0,False,0.0,False,3.0,True,71.76,0.07176,0.07221889275000004,31.25,144.43778550000007,2.7870680044593086,6967.670011148271,0.0051824277437400035,1.0
Fixed (rho=2),2,0.5,500,71760.0,0.07176000000000005,0.00024146850000000006,16,0,16,0,0.0,0.0,50.0,False,0.0,False,3.0,True,71.76,0.07176,0.07200146850000004,31.25,144.0029370000001,2.7870680044593086,6967.670011148271,0.005166825379560003,1.0
Fixed (rho=2),14,0.25,500,71760.0,0.07176000000000005,0.0003623377500000001,16,0,16,0,0.0,0.0,25.0,False,0.0,False,3.0,True,71.76,0.07176,0.07212233775000004,31.25,144.2446755000001,2.7870680044593086,6967.670011148271,0.0051754989569400035,1.0
Fixed (rho=4),6,0.25,500,140972.5,0.1409725,0.0006232166249999999,31,0,31,0,0.0,0.0,25.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141595716625,16.129032258064516,283.19143325,1.4187164163223325,3546.791040805831,0.019961102161917814,1.0
Adaptive (Ours),12,0.25,500,76307.5,0.07630750000000004,0.00037922887500000004,17,0,17,0,0.0,0.0,25.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07668672887500004,29.41176470588235,153.37345775000009,2.6209743472135765,6552.435868033942,0.005851772563629065,1.0
Fixed (rho=4),5,0.01,500,140972.5,0.1409725,0.0008226056250000001,31,0,31,0,0.0,0.0,1.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141795105625,16.129032258064516,283.59021125,1.4187164163223325,3546.791040805831,0.019989210527720312,1.0
Adaptive (Ours),13,0.5,500,76307.5,0.07630750000000004,0.00025283725,17,0,17,0,0.0,0.0,50.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07656033725000004,29.41176470588235,153.1206745000001,2.6209743472135765,6552.435868033942,0.005842127934704378,1.0
Fixed (rho=2),2,0.1,500,71760.0,0.07176000000000005,0.0004347945000000001,16,0,16,0,0.0,0.0,10.0,False,0.0,False,3.0,True,71.76,0.07176,0.07219479450000005,31.25,144.3895890000001,2.7870680044593086,6967.670011148271,0.005180698453320004,1.0
Fixed (rho=4),10,0.25,500,140972.5,0.1409725,0.0006231086249999998,31,0,31,0,0.0,0.0,25.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141595608625,16.129032258064516,283.19121724999997,1.4187164163223325,3546.791040805831,0.019961086936887813,1.0
Fixed (rho=4),4,0.25,500,140972.5,0.1409725,0.0006231806249999999,31,0,31,0,0.0,0.0,25.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141595680625,16.129032258064516,283.19136125,1.4187164163223325,3546.791040805831,0.01996109708690781,1.0
Fixed (rho=4),6,0.1,500,140972.5,0.1409725,0.0007478167499999998,31,0,31,0,0.0,0.0,10.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.14172031675,16.129032258064516,283.4406335,1.4187164163223325,3546.791040805831,0.019978667353039374,1.0
Fixed (rho=4),14,0.25,500,140972.5,0.1409725,0.0006231446249999998,31,0,31,0,0.0,0.0,25.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141595644625,16.129032258064516,283.19128924999995,1.4187164163223325,3546.791040805831,0.019961092011897812,1.0
Adaptive (Ours),9,0.1,500,76307.5,0.07630750000000004,0.0004551502500000001,17,0,17,0,0.0,0.0,10.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07676265025000004,29.41176470588235,153.52530050000007,2.6209743472135765,6552.435868033942,0.005857565933951878,1.0
Fixed (rho=2),4,0.25,500,71760.0,0.07176000000000005,0.0003622837500000001,16,0,16,0,0.0,0.0,25.0,False,0.0,False,3.0,True,71.76,0.07176,0.07212228375000004,31.25,144.2445675000001,2.7870680044593086,6967.670011148271,0.005175495081900004,1.0
Fixed (rho=4),10,0.1,500,140972.5,0.1409725,0.0007478527499999997,31,0,31,0,0.0,0.0,10.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.14172035275,16.129032258064516,283.4407055,1.4187164163223325,3546.791040805831,0.019978672428049377,1.0
Fixed (rho=4),17,0.5,500,140972.5,0.1409725,0.00041541774999999994,31,0,31,0,0.0,0.0,50.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.14138791775,16.129032258064516,282.7758355,1.4187164163223325,3546.791040805831,0.019931808235011877,1.0
Adaptive (Ours),9,0.25,500,76307.5,0.07630750000000004,0.00037922887500000014,17,0,17,0,0.0,0.0,25.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07668672887500004,29.41176470588235,153.37345775000009,2.6209743472135765,6552.435868033942,0.005851772563629065,1.0
Fixed (rho=2),2,0.05,500,71760.0,0.07176000000000005,0.0004589467499999999,16,0,16,0,0.0,0.0,5.0,False,0.0,False,3.0,True,71.76,0.07176,0.07221894675000004,31.25,144.4378935000001,2.7870680044593086,6967.670011148271,0.005182431618780003,1.0
Fixed (rho=4),0,0.1,500,140972.5,0.1409725,0.0007477807499999995,31,0,31,0,0.0,0.0,10.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.14172028075,16.129032258064516,283.4405615,1.4187164163223325,3546.791040805831,0.019978662278029375,1.0
Fixed (rho=2),16,0.05,500,71760.0,0.07176000000000005,0.0004589467499999999,16,0,16,0,0.0,0.0,5.0,False,0.0,False,3.0,True,71.76,0.07176,0.07221894675000004,31.25,144.4378935000001,2.7870680044593086,6967.670011148271,0.005182431618780003,1.0
Adaptive (Ours),3,0.1,500,76307.5,0.07630750000000004,0.00045520425000000015,17,0,17,0,0.0,0.0,10.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07676270425000004,29.41176470588235,153.52540850000008,2.6209743472135765,6552.435868033942,0.0058575700545568776,1.0
Fixed (rho=4),4,0.05,500,140972.5,0.1409725,0.0007893261249999995,31,0,31,0,0.0,0.0,5.0,False,0.0,False,3.0,True,140.9725,0.1409725,0.141761826125,16.129032258064516,283.52365225,1.4187164163223325,3546.791040805831,0.01998451903340656,1.0
Adaptive (Ours),1,0.05,500,76307.5,0.07630750000000004,0.0004804933749999999,17,0,17,0,0.0,0.0,5.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07678799337500004,29.41176470588235,153.5759867500001,2.6209743472135765,6552.435868033942,0.005859499804462816,1.0
Adaptive (Ours),4,0.05,500,76307.5,0.07630750000000004,0.00048054737499999997,17,0,17,0,0.0,0.0,5.0,False,0.0,False,3.0,True,76.3075,0.0763075,0.07678804737500004,29.41176470588235,153.57609475000007,2.6209743472135765,6552.435868033942,0.005859503925067816,1.0
Fixed (rho=2),8,0.01,500,71760.0,0.07176000000000005,0.00047825774999999993,16,0,16,0,0.0,0.0,1.0,False,0.0,False,3.0,True,71.76,0.07176,0.07223825775000005,31.25,144.4765155000001,2.7870680044593086,6967.670011148271,0.005183817376140004,1.0
