algorithm_name,run_id,TOTAL_TAGS,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
CT_MTI,4,400,0.5,247450.0,0.24744999999999784,0.0005380802000000022,245,100,145,0,0.40816326530612246,247.45,0.24745,0.24798808019999785,1.6326530612244898,619.9702004999946,0.6465952717720752,1616.488179430188,0.06136465044548947,0.5918367346938775
CR_MTI,4,400,0.5,516915.0,0.5169149999999998,0.0012902399999999972,189,1,188,0,0.005291005291005291,516.915,0.516915,0.5182052399999998,2.1164021164021163,1295.5130999999994,0.3095286459089019,773.8216147722546,0.2678680616345999,0.9947089947089947
CPT,4,400,0.5,198665.0,0.19866500000000042,0.0004042600000000014,254,118,41,95,0.4645669291338583,198.665,0.198665,0.19906926000000041,1.5748031496062993,497.67315000000104,0.8053758840258727,2013.4397100646818,0.039548094537900084,0.16141732283464566
ECUMI,4,400,0.5,240697.5,0.2406974999999974,0.0004923750000000031,367,43,61,263,0.11716621253405994,240.6975,0.2406975,0.2411898749999974,1.0899182561307903,602.9746874999935,0.6647347812087787,1661.8369530219466,0.05805379993781187,0.16621253405994552
ISMTI,4,400,0.5,91577.5,0.0915775,0.0004561168999999999,21,0,20,1,0.0,91.5775,0.0915775,0.0920336169,19.047619047619047,230.08404225,1.747154049848489,4367.8851246212225,0.00842820855165975,0.9523809523809523
LODS_MTI,4,400,0.5,60395.0,0.060395,0.0002538640000000001,7,0,7,0,0.0,60.395,0.060395,0.060648864,57.142857142857146,151.62215999999998,2.6492259292987828,6623.0648232469575,0.00366288814128,1.0
LODS_MTI_128b,4,400,0.5,78005.0,0.078005,0.000233788,13,0,13,0,0.0,78.005,0.078005,0.078238788,30.76923076923077,195.59697,2.051150567271329,5127.876418178322,0.00610301665794,1.0
CT_MTI,11,350,0.5,219170.0,0.2191699999999983,0.00042122149999999816,217,84,133,0,0.3870967741935484,219.17,0.21917,0.2195912214999983,1.6129032258064515,627.4034899999951,0.6387735547748323,1596.9338869370808,0.04812780801615463,0.6129032258064516
CR_MTI,11,350,0.5,393840.0,0.3938400000000001,0.0008815275000000003,144,1,143,0,0.006944444444444444,393.84,0.39384,0.39472152750000006,2.4305555555555554,1127.7757928571432,0.3554743042860045,888.6857607150112,0.15545712639060003,0.9930555555555556
CPT,11,350,0.5,174845.0,0.1748450000000004,0.0003120425000000009,222,119,28,75,0.536036036036036,174.845,0.174845,0.1751570425000004,1.5765765765765767,500.44869285714395,0.800709199576768,2001.77299894192,0.030625333095912567,0.12612612612612611
ECUMI,11,350,0.5,209262.5,0.20926249999999777,0.0003758168750000022,321,33,55,233,0.102803738317757,209.2625,0.2092625,0.20963831687499776,1.0903426791277258,598.9666196428507,0.6690161878024014,1672.5404695060033,0.04386943828505422,0.17133956386292834
ISMTI,11,350,0.5,116750.0,0.11675000000000005,0.0004724346499999998,27,0,26,1,0.0,116.75,0.11675,0.11722243465000005,12.962962962962964,334.921241857143,1.1991434689507494,2997.8586723768735,0.013685719245387508,0.9629629629629629
LODS_MTI,11,350,0.5,52472.5,0.0524725,0.000205782625,6,0,6,0,0.0,52.4725,0.0524725,0.052678282624999996,58.333333333333336,150.5093789285714,2.668064224117395,6670.160560293487,0.0027641611850403123,1.0
LODS_MTI_128b,11,350,0.5,67147.5,0.0671475,0.00018624787499999995,11,0,11,0,0.0,67.1475,0.0671475,0.067333747875,31.818181818181817,192.3821367857143,2.0849622100599428,5212.405525149857,0.0045212928354365625,1.0
CT_MTI,38,450,0.5,267650.0,0.267649999999998,0.0006509403000000025,265,104,161,0,0.39245283018867927,267.65,0.26765,0.268300940299998,1.6981132075471699,596.2243117777734,0.672520082196899,1681.3002054922474,0.07181074667129447,0.6075471698113207
CR_MTI,38,450,0.5,490505.0,0.49050499999999964,0.001350888749999995,180,0,179,1,0.0,490.505,0.490505,0.49185588874999964,2.5,1093.0130861111104,0.36696873630238225,917.4218407559556,0.2412577727113186,0.9944444444444445
