TOTAL_TAGS,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
100,9.25,49.15,36.9,15.5,12.275,2.0,3.7
150,15.625,67.1,53.0,23.1,16.85,3.0,5.0
200,17.45,96.2,71.2,30.425,17.45,3.95,6.925
250,29.25,115.0,88.175,38.975,18.25,4.0,8.0
300,31.625,136.65,106.3,46.5,21.375,5.0,9.95
350,32.225,162.35,125.7,54.025,22.125,6.0,10.925
400,36.675,201.9,145.55,62.075,22.2,7.0,13.0
450,48.35,221.65,163.575,67.2,24.575,7.225,14.2
500,60.025,237.175,184.175,77.35,25.825,8.0,15.925
550,63.1,260.5,202.825,85.2,26.575,9.0,17.725
600,64.1,284.175,219.3,93.95,29.05,10.0,18.875
650,62.975,340.625,237.275,99.825,30.325,10.95,20.875
700,65.125,348.325,256.825,106.6,31.875,11.0,21.9
750,64.875,367.325,273.5,114.35,33.275,12.0,23.9
800,73.55,433.05,292.0,120.825,33.25,13.0,24.925
850,82.3,409.975,305.3,130.525,34.475,13.975,26.85
900,96.725,452.25,325.75,136.45,37.175,14.675,28.5
950,109.025,483.975,344.15,142.35,38.775,15.0,29.8
1000,120.75,503.9,361.0,152.675,38.575,15.975,31.75
