TOTAL_TAGS,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
100,488.64901875000004,1354.038000000001,609.6758304000007,494.2944600000001,573.3998232375,158.575821,209.05993781249998
150,454.35365520833363,1227.4277612500023,611.2651048333333,473.80084708333334,508.89064627083343,158.7148948333333,197.75527416666665
200,502.9685237500013,1322.508673750003,619.8467667249994,588.3264112499991,399.24535048125006,158.8767545,201.78546405
250,415.67124375000094,1266.5080912500016,611.0037566099977,515.7693224999989,338.0458217400001,147.0781314,193.9564116
300,454.4709010416679,1251.3342893750007,605.7474748999964,495.6272362499978,330.46202412083346,149.05088999999998,196.79040575000002
350,498.69527258928684,1278.0174599107145,623.7886270428523,601.0051808928508,295.5648701357144,150.5120892142857,190.72142244642856
400,499.24409812500096,1392.226935000001,624.7145565749947,601.5380699999934,261.4588977562501,151.622187,195.195585
450,452.7987962500009,1356.751477847225,632.2186746888849,503.05171374999554,256.6261911152779,150.467123125,195.55636863888893
500,412.87965687500093,1305.4857518750039,643.2689661699972,515.6959062499958,240.0448068475001,147.2619146,192.85478027500002
550,430.4122104545463,1305.6360869318235,649.4890877181799,513.2052732954528,228.43501213636372,148.35749018181818,194.5739289204546
600,454.56940250000207,1303.4497987500065,642.8408400416654,501.2612370833337,227.1944827895834,149.30088083333334,191.83659845833338
650,478.8046892788501,1444.6339630769316,640.199524692307,531.3204818269262,222.12212861923075,150.10752646153847,194.34064904230775
700,497.9352093750055,1373.2349488392942,639.803398242857,512.1998726785754,213.44598244285717,146.5783894285714,191.5514736428572
750,516.0125781250069,1349.8858358333407,631.3364820966669,1004.8698645833623,207.7409693491667,147.33875533333332,193.55978037083338
800,499.8433512500072,1492.361781250003,626.4475646375007,507.1710675000066,198.09285023125005,148.22785749999997,191.31111162500005
850,476.6036567647128,1331.0827252941224,616.3321731000021,457.23057529412216,193.35597222352948,148.90997991176468,192.7052478308824
900,451.95010631945104,1387.3326858333348,622.2906253500048,496.57356416667443,196.04605854305564,148.57074491666663,192.8665594583334
950,433.1374193750065,1407.2403390460518,620.8304822500065,490.3644873684293,193.5123257486843,146.90777489473686,191.8471568947369
1000,416.29209375000636,1390.387049999998,616.9425952800079,460.6418137500076,185.40252870375008,147.3954043875,193.33768275000006
