TOTAL_TAGS,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
100,21.25,0.1,0.0,48.15,1.0,0.0,0.05
150,26.625,0.025,0.0,69.425,1.05,0.0,0.0
200,45.45,0.05,0.0,125.575,1.025,0.0,0.0
250,34.25,0.05,0.0,124.9,1.0,0.0,0.0
300,53.625,0.025,0.0,139.325,1.1,0.0,0.0
350,79.225,0.025,0.0,231.075,1.0,0.0,0.0
400,90.675,0.1,0.0,264.55,1.025,0.0,0.0
450,80.35,0.2,0.0,209.425,1.1,0.35,0.35
500,68.025,0.075,0.0,246.625,1.0,0.0,0.0
550,85.1,0.1,0.0,258.625,1.0,0.0,0.025
600,108.1,0.075,0.0,278.525,1.05,0.0,0.0
650,131.975,0.075,0.0,335.225,1.125,0.0,0.0
700,158.125,0.125,0.0,342.175,1.0,0.0,0.0
750,182.875,0.225,0.0,1042.375,1.05,0.0,0.0
800,181.55,0.2,0.0,370.7,1.025,0.0,0.0
850,169.3,0.15,0.0,327.35,1.1,0.0,0.0
900,158.725,0.375,0.0,407.15,1.025,0.125,0.125
950,150.025,0.225,0.0,409.6,1.075,0.0,0.0
1000,140.75,0.4,0.0,393.925,1.0,0.0,0.0
