TOTAL_TAGS,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
100,2047.617348069193,750.1439222173791,1646.670029006535,2024.4863863355447,1805.0928057942497,6321.112515802781,4790.219371233683
150,2202.715956065961,825.3702532518098,1641.2359448690615,2112.4709995231874,2008.4583209704767,6317.784563546383,5065.428450823132
200,1990.2781701762337,767.439181812627,1617.686231123189,1701.5832423548359,2550.345259444994,6313.629547786284,4967.866388200312
250,2408.8922831582554,802.2558119925469,1640.5317752902072,1941.4841381471283,2994.222620133686,6823.144104803493,5167.4245556014885
300,2203.7689311225504,803.2074142109293,1655.233212427244,2020.903557028011,3072.2564097271957,6734.006734006734,5097.12879587198
350,2008.8242050280278,793.8086050219722,1607.5809696531655,1666.9053308879525,3431.9774303754484,6670.160560293487,5261.257340827242
400,2007.1173462769052,729.3692480100686,1605.2891973110175,1665.862662063438,3876.160994117964,6623.064823246957,5138.61472361525
450,2213.558577554758,751.3648700580504,1586.4961553035814,1992.5353680872552,3948.9433003600207,6676.04736405856,5131.004353063383
500,2428.1871801979655,776.0257138395219,1559.5065625565082,1944.128329888396,4211.607219789953,6823.144104803493,5205.047327355844
550,2329.853434033595,773.9434341868375,1545.1664773646214,1954.0609477001872,4441.363894666425,6774.2332799605865,5160.714877788881
600,2206.5768700984445,777.1184146861658,1560.9859579690585,2001.1081668175407,4448.479189128629,6733.062140552674,5235.447534296305
650,2095.405642475521,705.2285909459313,1568.0621161519846,1888.3387420582808,4565.254494903846,6698.613902200237,5168.284160388869
700,2015.4030630914554,737.0378664060606,1569.2380513210655,1959.323383078153,4733.687125733379,6862.072345848445,5245.213452250968
750,1945.2774573847914,751.6519078875626,1590.6433112586465,998.9168999415651,4866.04673914708,6828.258905481756,5191.805923204446
800,2008.705130701163,680.6041103441655,1603.2580299636572,1979.750447085896,5106.519035677409,6788.722235186795,5254.062986623134
850,2107.1810814062374,759.3659552666384,1630.172254165174,2196.548495084228,5240.766224434309,6759.308960060438,5217.448480748052
900,2222.685519995343,732.05588625033,1614.9042254612018,2023.0094603385046,5164.02114939911,6776.609543740745,5214.96900670821
950,2319.8062396544783,723.963158039585,1619.035113173918,2049.129457712534,5231.855773960506,6855.187023187791,5243.530311644052
1000,2414.2775309571457,729.349545912128,1629.677084727517,2181.9103708077696,5460.3773898231775,6834.7314553667575,5204.913654312005
