TOTAL_TAGS,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
100,62.0,49.525,60.325,73.0,14.125,2.0,4.0
150,86.0,67.25,90.7,105.0,18.375,3.0,5.0
200,128.0,96.6,122.6,178.0,18.95,4.0,6.975
250,130.0,115.6,151.025,190.0,19.85,4.0,8.0
300,172.0,137.0,179.625,217.0,23.075,5.0,9.95
350,222.0,163.2,215.75,321.0,23.825,6.0,10.925
400,254.0,203.175,246.875,367.0,23.9,7.0,13.0
450,257.0,222.75,281.0,329.0,26.325,8.0,14.975
500,258.0,238.0,317.6,378.0,27.075,8.0,15.925
550,297.0,261.775,352.65,409.0,28.2,9.0,17.85
600,344.0,285.0,380.675,437.0,30.375,10.0,18.875
650,394.0,342.1,410.6,508.0,32.2,11.0,20.925
700,443.0,350.15,441.8,525.0,33.0,11.0,21.9
750,493.0,368.75,466.975,1237.0,34.5,12.0,23.9
800,508.0,434.7,494.125,587.0,34.75,13.0,24.925
850,512.0,411.825,516.4,551.0,35.825,14.0,26.875
900,512.0,454.5,551.925,646.0,38.5,15.0,28.825
950,516.0,486.4,581.075,667.0,39.975,15.0,29.8
1000,520.0,505.85,607.675,655.0,40.05,15.975,31.825
