TOTAL_TAGS,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
100,48.83875,135.27137499999998,60.928250000000006,49.402,57.247812499999995,15.819999999999999,20.8765
150,68.099375,183.883875,91.607,71.01275000000001,76.16431250000001,23.7425,29.6125
200,100.48975,264.11125,123.826,117.54225,79.623375,31.6775,40.2781875
250,103.78375000000001,316.07624999999996,152.53525,128.7745,84.231,36.64,48.38
300,136.13187499999998,374.650125,181.42125000000001,148.45725,98.768125,44.55,58.890750000000004
350,174.232375,446.307125,217.90749999999997,209.97475,103.01700000000001,52.47249999999999,66.567375
400,199.292125,555.504125,249.34375,240.12399999999997,104.09068749999999,60.395,77.845
450,203.29424999999998,608.86225,283.81,225.85275000000001,114.90593750000001,67.4055,87.714625
500,205.91637500000002,650.7953749999999,320.776,257.19124999999997,119.37137499999999,73.28,96.089875
550,236.06799999999998,715.775125,356.1765,281.47375,124.91075000000001,81.19,106.61487500000001
600,271.9155,779.340375,384.48175000000003,299.84074999999996,135.4705625,89.1125,114.640625
650,310.203625,935.5088750000001,414.706,344.22175000000004,143.447,97.035,125.78487500000001
700,347.32687500000003,957.4358749999999,446.218,357.27025,148.3884375,102.01,133.48149999999998
750,385.55062499999997,1008.127375,471.64475000000004,750.8162500000001,154.7043125,109.84,144.4811875
800,398.26775,1188.5455,499.06625,404.0985,157.276375,117.8425,152.282375
850,403.384,1126.0721250000001,521.5640000000001,386.978,163.04375,125.75250000000001,162.940625
900,404.917375,1242.384375,557.44425,444.88950000000006,175.0145,132.81,172.626375
950,409.518875,1329.900125,586.88575,463.61800000000005,182.28825,138.5825,181.208
1000,414.20375,1382.7817499999999,613.75175,458.32275,183.7664375,146.3269375,192.18075
