TOTAL_TAGS,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
100,0.04883875,0.135271375,0.060928249999999996,0.049402,0.057247812499999995,0.01582,0.0208765
150,0.06809937499999999,0.183883875,0.09160700000000001,0.07101275,0.0761643125,0.0237425,0.029612499999999996
200,0.10048975,0.26411124999999996,0.12382599999999999,0.11754225,0.079623375,0.0316775,0.04027818749999999
250,0.10378375,0.31607625,0.15253525,0.1287745,0.084231,0.03664,0.04838
300,0.13613187499999999,0.374650125,0.18142125,0.14845725,0.098768125,0.04455,0.058890750000000006
350,0.174232375,0.446307125,0.2179075,0.20997475,0.103017,0.0524725,0.066567375
400,0.199292125,0.555504125,0.24934374999999998,0.240124,0.10409068749999999,0.060395,0.07784500000000001
450,0.20329424999999998,0.6088622499999999,0.28381,0.22585275,0.1149059375,0.0674055,0.087714625
500,0.205916375,0.6507953750000001,0.320776,0.25719125,0.11937137499999999,0.07328,0.096089875
550,0.236068,0.7157751250000001,0.3561765,0.28147375,0.12491075,0.08119,0.106614875
600,0.2719155,0.7793403750000001,0.38448175,0.29984075,0.1354705625,0.0891125,0.11464062500000001
650,0.310203625,0.935508875,0.41470599999999996,0.34422175,0.143447,0.097035,0.125784875
700,0.347326875,0.957435875,0.446218,0.35727025,0.1483884375,0.10201,0.1334815
750,0.385550625,1.0081273750000002,0.47164475,0.75081625,0.1547043125,0.10984000000000001,0.1444811875
800,0.39826775,1.1885455,0.49906625,0.4040985,0.157276375,0.1178425,0.152282375
850,0.40338399999999996,1.1260721249999999,0.5215639999999999,0.386978,0.16304375,0.1257525,0.162940625
900,0.40491737499999997,1.2423843749999999,0.55744425,0.44488950000000005,0.17501450000000002,0.13280999999999998,0.172626375
950,0.409518875,1.329900125,0.58688575,0.463618,0.18228824999999999,0.1385825,0.181208
1000,0.41420375,1.38278175,0.61375175,0.45832275000000006,0.1837664375,0.14632693749999998,0.19218074999999998
