TOTAL_TAGS,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
100,48838.75,135271.375,60928.25,49402.0,57247.8125,15820.0,20876.5
150,68099.375,183883.875,91607.0,71012.75,76164.3125,23742.5,29612.5
200,100489.75,264111.25,123826.0,117542.25,79623.375,31677.5,40278.1875
250,103783.75,316076.25,152535.25,128774.5,84231.0,36640.0,48380.0
300,136131.875,374650.125,181421.25,148457.25,98768.125,44550.0,58890.75
350,174232.375,446307.125,217907.5,209974.75,103017.0,52472.5,66567.375
400,199292.125,555504.125,249343.75,240124.0,104090.6875,60395.0,77845.0
450,203294.25,608862.25,283810.0,225852.75,114905.9375,67405.5,87714.625
500,205916.375,650795.375,320776.0,257191.25,119371.375,73280.0,96089.875
550,236068.0,715775.125,356176.5,281473.75,124910.75,81190.0,106614.875
600,271915.5,779340.375,384481.75,299840.75,135470.5625,89112.5,114640.625
650,310203.625,935508.875,414706.0,344221.75,143447.0,97035.0,125784.875
700,347326.875,957435.875,446218.0,357270.25,148388.4375,102010.0,133481.5
750,385550.625,1008127.375,471644.75,750816.25,154704.3125,109840.0,144481.1875
800,398267.75,1188545.5,499066.25,404098.5,157276.375,117842.5,152282.375
850,403384.0,1126072.125,521564.0,386978.0,163043.75,125752.5,162940.625
900,404917.375,1242384.375,557444.25,444889.5,175014.5,132810.0,172626.375
950,409518.875,1329900.125,586885.75,463618.0,182288.25,138582.5,181208.0
1000,414203.75,1382781.75,613751.75,458322.75,183766.4375,146326.9375,192180.75
