algorithm_name,run_id,TOTAL_TAGS,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
CT_MTI,0,1000,0.0,725180.0,0.7251800000000153,0.007496060000000102,718,0,718,0,0.0,725.18,0.72518,0.7326760600000154,1.392757660167131,732.6760600000155,0.5515871921453984,1378.9679803634958,0.5313220251908112,1.0
CR_MTI,0,1000,0.0,549735.0,0.5497350000000003,0.006046800000000008,201,0,201,0,0.0,549.735,0.549735,0.5557818000000003,4.975124378109452,555.7818000000003,0.727623309412717,1819.0582735317926,0.3055327078230002,1.0
CPT,0,1000,0.0,434612.5,0.4346125000000073,0.004380775000000023,520,40,480,0,0.07692307692307693,434.6125,0.4346125,0.4389932750000073,1.9230769230769231,438.9932750000073,0.9203600908855589,2300.9002272138973,0.19079196473094068,0.9230769230769231
ECUMI,0,1000,0.0,476425.0,0.47642500000000787,0.004819150000000009,655,32,278,345,0.04885496183206107,476.425,0.476425,0.48124415000000786,1.5267175572519085,481.2441500000079,0.8395865036469539,2098.9662591173847,0.22927674416375374,0.42442748091603055
ISMTI,0,1000,0.0,206945.0,0.2069450000000001,0.0034439389999999983,44,0,43,1,0.0,206.945,0.206945,0.2103889390000001,22.727272727272727,210.3889390000001,1.932880717098746,4832.201792746865,0.04353893898135502,0.9772727272727273
LODS_MTI,0,1000,0.0,79302.5,0.0793025,0.001446011,9,0,9,0,0.0,79.3025,0.0793025,0.080748511,111.11111111111111,80.748511,5.0439771760032786,12609.942940008197,0.006403558793577499,1.0
LODS_MTI_128b,0,1000,0.0,101095.0,0.10109500000000002,0.001396672,17,0,17,0,0.0,101.095,0.101095,0.10249167200000002,58.8235294117647,102.49167200000002,3.956674415154063,9891.686037885158,0.010361395580840002,1.0
CT_MTI,1,1000,0.0,725180.0,0.7251800000000153,0.007496060000000102,718,0,718,0,0.0,725.18,0.72518,0.7326760600000154,1.392757660167131,732.6760600000155,0.5515871921453984,1378.9679803634958,0.5313220251908112,1.0
CR_MTI,1,1000,0.0,549735.0,0.5497350000000003,0.006046800000000008,201,0,201,0,0.0,549.735,0.549735,0.5557818000000003,4.975124378109452,555.7818000000003,0.727623309412717,1819.0582735317926,0.3055327078230002,1.0
CPT,1,1000,0.0,434612.5,0.4346125000000073,0.004380775000000023,520,40,480,0,0.07692307692307693,434.6125,0.4346125,0.4389932750000073,1.9230769230769231,438.9932750000073,0.9203600908855589,2300.9002272138973,0.19079196473094068,0.9230769230769231
ECUMI,1,1000,0.0,476425.0,0.47642500000000787,0.004819150000000009,655,32,278,345,0.04885496183206107,476.425,0.476425,0.48124415000000786,1.5267175572519085,481.2441500000079,0.8395865036469539,2098.9662591173847,0.22927674416375374,0.42442748091603055
ISMTI,1,1000,0.0,206945.0,0.2069450000000001,0.0034439389999999983,44,0,43,1,0.0,206.945,0.206945,0.2103889390000001,22.727272727272727,210.3889390000001,1.932880717098746,4832.201792746865,0.04353893898135502,0.9772727272727273
