MISSING_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,480.0,201.0,718.0,278.0,43.0,9.0,17.0
0.05,433.175,534.325,684.225,270.325,46.5,9.0,17.0
0.1,388.8,562.8,649.275,261.825,47.325,9.0,17.0
0.15000000000000002,347.225,576.2,614.65,252.875,46.775,9.0,17.05
0.2,307.5,559.45,579.625,241.275,45.6,9.0,17.4
0.25,270.225,557.775,544.5,229.075,44.7,9.825,19.975
0.3,234.9,544.35,507.375,216.4,44.175,12.325,24.575
0.35,202.95,532.475,471.575,201.375,43.0,14.6,28.4
0.39999999999999997,173.75,532.3,436.45,186.75,41.1,15.625,30.3
0.44999999999999996,145.85,525.025,397.95,170.85,39.925,15.95,31.3
0.49999999999999994,121.275,504.0,361.675,153.1,39.125,15.975,31.725
0.5499999999999999,97.0,490.1,325.5,135.4,37.375,16.0,31.875
0.6,76.325,481.825,287.525,115.525,35.425,16.0,31.875
0.65,58.8,456.625,251.2,95.6,33.5,16.0,31.75
0.7000000000000001,43.35,435.675,215.725,76.075,33.35,16.0,31.625
0.7500000000000001,30.675,393.6,179.7,57.375,31.6,16.0,31.5
0.8000000000000002,19.95,342.85,144.425,39.4,29.175,16.0,31.2
0.8500000000000002,10.9,272.35,108.275,24.5,27.3,15.95,30.025
0.9000000000000002,4.725,172.25,71.45,11.6,23.75,15.825,26.475
