MISSING_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,0.0,0.0,0.0,345.0,1.0,0.0,0.0
0.05,3.175,0.0,0.0,346.925,1.025,0.0,0.0
0.1,8.8,0.0,0.0,348.95,1.025,0.0,0.0
0.15000000000000002,17.225,0.0,0.0,351.8,1.025,0.0,0.0
0.2,27.5,0.0,0.0,355.15,1.025,0.0,0.0
0.25,40.225,0.0,0.0,358.55,1.025,0.0,0.0
0.3,54.9,0.025,0.0,363.05,1.0,0.0,0.0
0.35,72.95,0.025,0.0,368.675,1.025,0.0,0.0
0.39999999999999997,92.75,0.1,0.0,375.55,1.1,0.0,0.0
0.44999999999999996,114.85,0.225,0.0,383.8,1.05,0.0,0.0
0.49999999999999994,140.275,0.375,0.0,393.675,1.0,0.0,0.0
0.5499999999999999,166.0,0.75,0.0,406.275,1.025,0.0,0.0
0.6,196.325,1.4,0.0,419.525,1.0,0.0,0.05
0.65,228.8,2.7,0.0,435.225,1.0,0.0,0.05
0.7000000000000001,263.35,5.025,0.0,454.6,1.1,0.0,0.1
0.7500000000000001,300.675,9.8,0.0,476.675,1.0,0.0,0.2
0.8000000000000002,339.95,20.6,0.0,502.4,1.075,0.0,0.3
0.8500000000000002,380.9,43.25,0.0,532.825,1.0,0.0,0.575
0.9000000000000002,424.725,88.025,0.0,567.6,1.0,0.0,1.35
