algorithm_name,run_id,TOTAL_TAGS,BIT_ERROR_RATE,MISSING_RATE,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,FP,FN,Reliability,Goodput,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
CT_MTI,30,500,0.015,0.5,322190.0,0.3221899999999986,0.0008616134000000005,319,141,178,0,0.44200626959247646,11.0,6.0,0.966,1499.1154287842578,322.19,0.32219,0.3230516133999986,1.567398119122257,646.1032267999973,0.6207517303454484,1551.879325863621,0.10408399932134554,0.5579937304075235
CR_MTI,30,500,0.015,0.5,1394850.0,1.3948499999999975,0.00417393750000002,510,1,509,0,0.00196078431372549,55.0,0.0,0.89,319.03072014912,1394.85,1.39485,1.3990239374999975,0.9803921568627451,2798.0478749999947,0.1433845933254472,358.461483313618,1.9514285392218715,0.9980392156862745
CPT,30,500,0.015,0.5,206065.0,0.20606500000000047,0.000523824999999998,258,132,59,67,0.5116279069767442,1.0,0.0,0.998,2421.5660107247713,206.065,0.206065,0.20658882500000048,1.937984496124031,413.17765000000094,0.9705675393686458,2426.4188484216147,0.0425707262236251,0.22868217054263565
ECUMI,30,500,0.015,0.5,255572.5,0.2555724999999978,0.0006526562500000001,378,53,74,251,0.1402116402116402,4.0,0.0,0.992,1940.7408856586685,255.5725,0.2555725,0.2562251562499978,1.3227513227513228,512.4503124999957,0.782556808733334,1956.392021833335,0.06548410374570256,0.19576719576719576
ISMTI,30,500,0.015,0.5,118187.5,0.11818750000000006,0.0006219905500000001,27,0,26,1,0.0,27.0,5.0,0.9359999999999999,3959.8096245372817,118.1875,0.1181875,0.11880949055000006,18.51851851851852,237.61898110000013,1.6922263352723428,4230.565838180857,0.014041796664378133,0.9629629629629629
LODS_MTI,30,500,0.015,0.5,85020.0,0.08502,0.00034789649999999994,12,0,12,0,0.0,0.0,0.0,1.0,5880.969183721478,85.02,0.08502,0.0853678965,41.666666666666664,170.735793,2.352387673488591,5880.969183721478,0.00725797856043,1.0
LODS_MTI_128b,30,500,0.015,0.5,96760.0,0.09676000000000001,0.0003398065,16,0,16,0,0.0,0.0,0.0,1.0,5167.4245556014885,96.76,0.09676,0.09709980650000001,31.25,194.199613,2.066969822240595,5167.4245556014885,0.00939537727694,1.0
CT_MTI,34,500,0.09000000000000001,0.5,236470.0,0.23646999999999802,0.0006401926000000014,235,92,139,4,0.39148936170212767,82.0,13.0,0.81,1712.6908275891233,236.47,0.23647,0.23711019259999802,2.127659574468085,474.2203851999961,0.8457732481921597,2114.433120480399,0.05606944724412154,0.5914893617021276
CR_MTI,34,500,0.09000000000000001,0.5,1393055.0,1.3930549999999977,0.00416945000000002,510,3,506,1,0.0058823529411764705,186.0,0.0,0.628,225.4038785259735,1393.055,1.393055,1.3972244499999977,0.9803921568627451,2794.4488999999953,0.14356934937960095,358.9233734490024,1.9464105061947468,0.9921568627450981
CPT,34,500,0.09000000000000001,0.5,204760.0,0.20476000000000033,0.0005205624999999987,258,114,68,76,0.4418604651162791,16.0,0.0,0.968,2363.7429185387773,204.76,0.20476,0.20528056250000032,1.937984496124031,410.56112500000063,0.9767532721234616,2441.883180308654,0.04203324797750006,0.26356589147286824
ECUMI,34,500,0.09000000000000001,0.5,260012.5,0.2600124999999981,0.0006637562499999995,378,62,77,239,0.164021164021164,19.0,28.0,0.906,1742.223931541753,260.0125,0.2600125,0.2606762562499981,1.3227513227513228,521.3525124999961,0.7691937887601558,1922.9844719003895,0.06777908507820261,0.2037037037037037
ISMTI,34,500,0.09000000000000001,0.5,90702.5,0.09070250000000002,0.0004755194,21,0,20,1,0.0,88.0,11.0,0.802,4421.046828918717,90.7025,0.0907025,0.09117801940000002,23.80952380952381,182.35603880000005,2.2050108872412557,5512.527218103139,0.008270074304628502,0.9523809523809523
LODS_MTI,34,500,0.09000000000000001,0.5,93825.0,0.09382500000000002,0.0003410730000000001,15,0,15,0,0.0,11.0,0.0,0.978,5211.830535571543,93.825,0.093825,0.09416607300000002,33.333333333333336,188.33214600000002,2.1316280309086064,5329.070077271515,0.008835131799225002,1.0
