BIT_ERROR_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,1.0,15.8,6.925,1.35,4.675,0.025,0.15
0.01,3.075,34.825,15.325,2.675,12.425,0.35,0.2
0.015,3.95,51.05,21.05,3.6,16.725,0.4,0.475
0.02,5.375,65.975,25.475,5.3,22.4,0.625,0.55
0.025,5.575,79.6,32.6,6.875,24.85,0.575,1.05
0.030000000000000002,7.675,92.975,37.625,7.525,28.275,1.375,1.6
0.035,9.25,104.25,42.35,8.1,34.3,1.925,1.575
0.04,9.8,113.325,52.225,10.65,39.325,2.325,2.15
0.045,11.8,125.525,50.3,12.25,42.675,2.725,3.1
0.049999999999999996,12.3,134.475,59.375,12.95,44.75,3.2,3.6
0.05499999999999999,14.375,142.75,69.925,13.4,51.55,3.825,4.125
0.05999999999999999,15.375,149.8,76.175,14.5,55.875,4.8,5.45
0.06499999999999999,16.75,157.375,76.85,16.325,57.75,5.125,6.25
0.06999999999999999,16.675,166.025,77.75,17.5,61.35,7.075,6.8
0.075,18.2,174.375,89.425,17.425,63.0,7.5,7.95
0.08,19.625,179.05,90.375,19.4,69.475,8.475,8.625
0.085,22.725,183.675,95.725,22.1,73.4,9.625,10.55
0.09000000000000001,21.8,189.225,97.8,22.925,76.85,11.15,10.725
0.09500000000000001,24.575,195.35,105.65,24.45,76.95,11.975,11.55
