BIT_ERROR_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,1.0,0.9999499999999999,1.0,1.0,1.0,1.0,1.0
0.005,0.998,0.9683999999999999,0.9843500000000001,0.99465,0.9894999999999999,0.9999499999999999,0.9997
0.01,0.9938499999999999,0.93035,0.9664999999999999,0.9909000000000001,0.9722500000000001,0.9993000000000001,0.9996
0.015,0.9921,0.8979000000000001,0.9533999999999999,0.9862500000000001,0.9625,0.9992000000000001,0.9990500000000001
0.02,0.98925,0.86805,0.94285,0.9818,0.9492499999999999,0.99875,0.99885
0.025,0.98885,0.8408,0.9269000000000001,0.9769,0.9436,0.99885,0.99785
0.030000000000000002,0.98465,0.8140500000000002,0.9151,0.9714,0.9351499999999999,0.99725,0.9968
0.035,0.9814999999999999,0.7915,0.9064,0.9694499999999999,0.9223000000000001,0.99605,0.9967
0.04,0.9804,0.77335,0.8843500000000001,0.96325,0.91095,0.99535,0.99565
0.045,0.9763999999999999,0.74895,0.8873,0.9576,0.90205,0.9945499999999999,0.99375
0.049999999999999996,0.9753999999999999,0.73105,0.86915,0.9525499999999999,0.89875,0.9929499999999999,0.9926999999999999
0.05499999999999999,0.9712500000000001,0.7144999999999999,0.8470000000000001,0.9513999999999999,0.8833500000000001,0.99215,0.9914
0.05999999999999999,0.96925,0.7003999999999999,0.8329000000000001,0.9478500000000001,0.8728999999999999,0.9900499999999999,0.9887
0.06499999999999999,0.9664999999999999,0.6852499999999999,0.8282999999999999,0.9413499999999999,0.86785,0.98925,0.9869999999999999
0.06999999999999999,0.9666499999999999,0.6679499999999999,0.82685,0.9359499999999998,0.8605499999999999,0.9855,0.9856
0.075,0.9635999999999999,0.65125,0.8037000000000001,0.93635,0.8543,0.9842000000000001,0.98345
0.08,0.96075,0.6418999999999999,0.8003500000000001,0.92845,0.8404,0.9820499999999999,0.9815999999999999
0.085,0.9545499999999999,0.63265,0.7889,0.9215,0.8326,0.97915,0.97805
0.09000000000000001,0.9564,0.62155,0.78315,0.9182,0.82515,0.97625,0.9775
0.09500000000000001,0.95085,0.6093,0.7687,0.9153500000000001,0.8214500000000001,0.97475,0.9750500000000001
