BIT_ERROR_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.005,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.01,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.015,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.02,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.025,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.030000000000000002,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.035,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.04,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.045,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.049999999999999996,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.05499999999999999,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.05999999999999999,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.06499999999999999,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.06999999999999999,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.075,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.08,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.085,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.09000000000000001,500.0,500.0,500.0,500.0,500.0,500.0,500.0
0.09500000000000001,500.0,500.0,500.0,500.0,500.0,500.0,500.0
