BIT_ERROR_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,60.025,237.175,184.175,77.35,25.825,8.0,15.925
0.005,60.025,472.55,180.925,77.35,26.0,10.925,15.95
0.01,60.025,508.025,176.475,77.35,25.3,11.95,15.95
0.015,60.025,508.025,172.85,77.35,25.325,12.8,15.975
0.02,60.025,508.025,171.45,77.35,24.75,13.425,16.0
0.025,60.025,508.025,167.175,77.35,24.25,13.575,16.0
0.030000000000000002,60.025,508.025,165.15,77.35,24.825,13.925,16.0
0.035,60.025,508.025,163.6,77.35,24.4,14.15,15.975
0.04,60.025,508.025,157.3,77.35,22.8,14.45,15.975
0.045,60.025,508.025,160.15,77.35,23.65,14.525,16.0
0.049999999999999996,60.025,508.025,154.125,77.35,22.775,14.45,16.0
0.05499999999999999,60.025,508.025,146.375,77.35,22.625,14.75,16.0
0.05999999999999999,60.025,508.025,141.9,77.35,21.875,14.775,16.0
0.06499999999999999,60.025,508.025,144.475,77.35,21.875,14.725,16.0
0.06999999999999999,60.025,508.025,145.025,77.35,20.825,14.85,16.0
0.075,60.025,508.025,136.85,77.35,21.0,14.875,16.0
0.08,60.025,508.025,135.45,77.35,21.05,14.825,16.0
0.085,60.025,508.025,133.825,77.35,20.675,15.0,16.0
0.09000000000000001,60.025,508.025,131.675,77.35,20.5,15.0,16.0
0.09500000000000001,60.025,508.025,127.4,77.35,20.6,14.95,16.0
