BIT_ERROR_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,68.025,0.075,0.0,246.625,1.0,0.0,0.0
0.005,68.025,0.15,0.1,246.625,1.0,0.0,0.0
0.01,68.025,0.15,0.35,246.625,1.025,0.0,0.0
0.015,68.025,0.15,0.525,246.625,1.0,0.0,0.0
0.02,68.025,0.15,0.65,246.625,1.0,0.0,0.0
0.025,68.025,0.15,0.675,246.625,1.0,0.0,0.0
0.030000000000000002,68.025,0.15,0.85,246.625,1.0,0.0,0.0
0.035,68.025,0.15,1.2,246.625,1.0,0.0,0.0
0.04,68.025,0.15,1.325,246.625,1.025,0.0,0.0
0.045,68.025,0.15,1.475,246.625,1.05,0.0,0.0
0.049999999999999996,68.025,0.15,1.55,246.625,1.025,0.0,0.0
0.05499999999999999,68.025,0.15,1.625,246.625,1.025,0.0,0.0
0.05999999999999999,68.025,0.15,1.725,246.625,1.025,0.0,0.0
0.06499999999999999,68.025,0.15,1.55,246.625,1.025,0.0,0.0
0.06999999999999999,68.025,0.15,2.125,246.625,1.0,0.0,0.0
0.075,68.025,0.15,1.925,246.625,1.025,0.0,0.0
0.08,68.025,0.15,1.775,246.625,1.0,0.0,0.0
0.085,68.025,0.15,2.325,246.625,1.025,0.0,0.0
0.09000000000000001,68.025,0.15,2.95,246.625,1.05,0.0,0.0
0.09500000000000001,68.025,0.15,2.375,246.625,1.0,0.0,0.0
