BIT_ERROR_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,258.0,238.0,317.6,378.0,27.075,8.0,15.925
0.005,258.0,474.3,311.525,378.0,27.525,10.925,15.95
0.01,258.0,510.0,301.775,378.0,26.95,11.95,15.95
0.015,258.0,510.0,297.175,378.0,26.725,12.8,15.975
0.02,258.0,510.0,294.375,378.0,26.1,13.425,16.0
0.025,258.0,510.0,285.825,378.0,25.575,13.575,16.0
0.030000000000000002,258.0,510.0,282.025,378.0,26.375,13.925,16.0
0.035,258.0,510.0,277.9,378.0,26.025,14.15,15.975
0.04,258.0,510.0,267.6,378.0,24.275,14.45,15.975
0.045,258.0,510.0,272.1,378.0,24.85,14.525,16.0
0.049999999999999996,258.0,510.0,262.575,378.0,24.25,14.45,16.0
0.05499999999999999,258.0,510.0,248.8,378.0,24.125,14.75,16.0
0.05999999999999999,258.0,510.0,240.65,378.0,23.175,14.775,16.0
0.06499999999999999,258.0,510.0,244.825,378.0,23.275,14.725,16.0
0.06999999999999999,258.0,510.0,243.175,378.0,22.2,14.85,16.0
0.075,258.0,510.0,230.275,378.0,22.45,14.875,16.0
0.08,258.0,510.0,227.6,378.0,22.4,14.825,16.0
0.085,258.0,510.0,223.975,378.0,22.05,15.0,16.0
0.09000000000000001,258.0,510.0,222.55,378.0,21.875,15.0,16.0
0.09500000000000001,258.0,510.0,213.15,378.0,21.925,14.95,16.0
