BIT_ERROR_RATE,CPT,CR_MTI,CT_MTI,ECUMI,ISMTI,LODS_MTI,LODS_MTI_128b
0.0,205916.375,650795.375,320776.0,257191.25,119371.375,73280.0,96089.875
0.005,205916.375,1296941.25,314618.25,257191.25,121185.875,81705.1875,96348.25
0.01,205916.375,1394580.75,304715.75,257191.25,118418.375,84728.25,96363.25
0.015,205916.375,1394580.75,300031.25,257191.25,117426.625,87183.3125,96581.625
0.02,205916.375,1394580.75,297175.75,257191.25,114477.875,89202.375,96695.0
0.025,205916.375,1394580.75,288534.75,257191.25,112283.25,89642.625,96760.0
0.030000000000000002,205916.375,1394580.75,284658.25,257191.25,115593.75,90644.875,96735.0
0.035,205916.375,1394580.75,280415.0,257191.25,113901.1875,91305.25,96606.625
0.04,205916.375,1394580.75,269984.5,257191.25,106179.125,92185.75,96606.625
0.045,205916.375,1394580.75,274496.5,257191.25,108389.375,92430.875,96760.0
0.049999999999999996,205916.375,1394580.75,264859.75,257191.25,105931.375,92051.0625,96760.0
0.05499999999999999,205916.375,1394580.75,250930.5,257191.25,105268.5625,93091.25,96760.0
0.05999999999999999,205916.375,1394580.75,242677.0,257191.25,101066.25,93164.625,96760.0
0.06499999999999999,205916.375,1394580.75,246932.25,257191.25,101395.375,93017.875,96760.0
0.06999999999999999,205916.375,1394580.75,245139.25,257191.25,96826.6875,93384.75,96760.0
0.075,205916.375,1394580.75,232154.25,257191.25,97736.5,93458.125,96760.0
0.08,205916.375,1394580.75,229485.5,257191.25,97547.125,93311.375,96760.0
0.085,205916.375,1394580.75,225703.25,257191.25,95718.75,93825.0,96760.0
0.09000000000000001,205916.375,1394580.75,224126.5,257191.25,94856.5,93825.0,96760.0
0.09500000000000001,205916.375,1394580.75,214759.0,257191.25,95180.1875,93678.25,96760.0
