algorithm_name,run_id,CAPTURE_RATIO_DB,TOTAL_TAGS,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,false_positive_rate,accuracy,capture_ratio_db,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
CT_MTI,0,0,1000,601960.0,0.6019600000000072,0.0031320956000000255,596,596,0,0,1.0,0.0,1.0,0,601.96,0.60196,0.6050920956000072,1.6778523489932886,605.0920956000073,0.6644959797993222,1661.2399494983054,0.3642412378673804,0.0
CR_MTI,0,0,1000,1282715.0,1.2827150000000003,0.007054600000000019,469,469,0,0,1.0,0.0,1.0,0,1282.715,1.282715,1.2897696000000003,2.1321961620469083,1289.7696000000003,0.31183856117687875,779.5964029421968,1.6544068124640003,0.0
CPT,0,0,1000,413152.5,0.41315250000000636,0.002083087500000015,520,372,0,148,0.7153846153846154,0.256,0.872,0,413.1525,0.4131525,0.4152355875000064,1.9230769230769231,415.2355875000064,0.9681655078935745,2420.413769733936,0.17155562106459638,0.0
ECUMI,0,0,1000,459035.0,0.4590350000000078,0.002322625000000002,655,263,0,392,0.4015267175572519,0.0,1.0,0,459.035,0.459035,0.4613576250000078,1.5267175572519085,461.3576250000078,0.8713932488808043,2178.4831222020107,0.2117792973918786,0.0
ISMTI,0,0,1000,193162.5,0.1931625000000001,0.0017366233499999998,42,41,0,1,0.9761904761904762,0.0,1.0,0,193.1625,0.1931625,0.1948991233500001,23.80952380952381,194.8991233500001,2.0707953148256,5176.988287064001,0.03764720191409439,0.0
Improve_Two,0,0,1000,146560.0,0.14656,0.0010711009999999997,16,16,0,0,1.0,0.0,1.0,0,146.56,0.14656,0.147631101,62.5,147.631101,2.7292576419213974,6823.144104803494,0.021636814162559997,0.0
CT_MTI,0,2,1000,601960.0,0.6019600000000072,0.0031320956000000255,596,521,75,0,0.8741610738255033,0.0,1.0,2,601.96,0.60196,0.6050920956000072,1.6778523489932886,605.0920956000073,0.6644959797993222,1661.2399494983054,0.3642412378673804,0.12583892617449666
CR_MTI,0,2,1000,1282715.0,1.2827150000000003,0.007054600000000019,469,319,150,0,0.6801705756929638,0.0,1.0,2,1282.715,1.282715,1.2897696000000003,2.1321961620469083,1289.7696000000003,0.31183856117687875,779.5964029421968,1.6544068124640003,0.31982942430703626
CPT,0,2,1000,413152.5,0.41315250000000636,0.002083087500000015,520,360,12,148,0.6923076923076923,0.232,0.884,2,413.1525,0.4131525,0.4152355875000064,1.9230769230769231,415.2355875000064,0.9681655078935745,2420.413769733936,0.17155562106459638,0.023076923076923078
ECUMI,0,2,1000,459035.0,0.4590350000000078,0.002322625000000002,655,243,20,392,0.3709923664122137,0.0,1.0,2,459.035,0.459035,0.4613576250000078,1.5267175572519085,461.3576250000078,0.8713932488808043,2178.4831222020107,0.2117792973918786,0.030534351145038167
ISMTI,0,2,1000,193162.5,0.1931625000000001,0.0017366233499999998,42,11,30,1,0.2619047619047619,0.0,1.0,2,193.1625,0.1931625,0.1948991233500001,23.80952380952381,194.8991233500001,2.0707953148256,5176.988287064001,0.03764720191409439,0.7142857142857143
Improve_Two,0,2,1000,146560.0,0.14656,0.0010711009999999997,16,1,15,0,0.0625,0.0,1.0,2,146.56,0.14656,0.147631101,62.5,147.631101,2.7292576419213974,6823.144104803494,0.021636814162559997,0.9375
CT_MTI,3,0,1000,621150.0,0.6211500000000084,0.0032290392000000247,615,615,0,0,1.0,0.0,1.0,0,621.15,0.62115,0.6243790392000085,1.6260162601626016,624.3790392000085,0.6439668357079611,1609.9170892699026,0.38783304019908527,0.0
CR_MTI,3,0,1000,1282715.0,1.2827150000000003,0.007054600000000012,469,469,0,0,1.0,0.0,1.0,0,1282.715,1.282715,1.2897696000000003,2.1321961620469083,1289.7696000000003,0.31183856117687875,779.5964029421968,1.6544068124640003,0.0
CPT,3,0,1000,413877.5,0.4138775000000063,0.002086712500000015,520,377,0,143,0.725,0.246,0.877,0,413.8775,0.4138775,0.4159642125000063,1.9230769230769231,415.9642125000063,0.9664695471486128,2416.173867871532,0.17215822835897138,0.0
ECUMI,3,0,1000,456815.0,0.4568150000000076,0.0023115250000000026,655,257,0,398,0.39236641221374047,0.0,1.0,0,456.815,0.456815,0.45912652500000756,1.5267175572519085,459.1265250000075,0.8756279894486827,2189.0699736217066,0.20973588351787847,0.0
ISMTI,3,0,1000,188752.5,0.1887525000000001,0.001685857499999999,41,40,0,1,0.975609756097561,0.0,1.0,0,188.7525,0.1887525,0.1904383575000001,24.390243902439025,190.4383575000001,2.1191772294406697,5297.943073601675,0.035945716074018766,0.0
Improve_Two,3,0,1000,146560.0,0.14656,0.0010711009999999997,16,16,0,0,1.0,0.0,1.0,0,146.56,0.14656,0.147631101,62.5,147.631101,2.7292576419213974,6823.144104803494,0.021636814162559997,0.0
CT_MTI,2,0,1000,606000.0,0.6060000000000074,0.003152958000000023,600,600,0,0,1.0,0.0,1.0,0,606.0,0.606,0.6091529580000075,1.6666666666666667,609.1529580000074,0.6600660066006601,1650.1650165016501,0.36914669254800453,0.0
CR_MTI,2,0,1000,1464165.0,1.4641649999999957,0.008053425000000017,536,535,0,1,0.9981343283582089,0.0,1.0,0,1464.165,1.464165,1.4722184249999957,1.8656716417910448,1472.2184249999957,0.273193253492605,682.9831337315126,2.1555706902401184,0.0
CPT,2,0,1000,413732.5,0.4137325000000063,0.0020859875000000154,520,376,0,144,0.7230769230769231,0.248,0.876,0,413.7325,0.4137325,0.4158184875000063,1.9230769230769231,415.81848750000626,0.9668082637936347,2417.020659484087,0.17203762237959636,0.0
ECUMI,2,0,1000,454965.0,0.45496500000000745,0.002302275000000001,655,252,0,403,0.3847328244274809,0.0,1.0,0,454.965,0.454965,0.45726727500000747,1.5267175572519085,457.2672750000075,0.8791885090061874,2197.971272515468,0.2080406057703784,0.0
ISMTI,2,0,1000,179295.0,0.17929500000000012,0.0016011425999999994,39,38,0,1,0.9743589743589743,0.0,1.0,0,179.295,0.179295,0.18089614260000011,25.641025641025642,180.8961426000001,2.2309601494743303,5577.400373685825,0.03243377388746702,0.0
Improve_Two,2,0,1000,146560.0,0.14656,0.0010698049999999996,16,16,0,0,1.0,0.0,1.0,0,146.56,0.14656,0.147629805,62.5,147.629805,2.7292576419213974,6823.144104803494,0.0216366242208,0.0
CT_MTI,1,0,1000,628220.0,0.6282200000000089,0.003264140800000026,622,622,0,0,1.0,0.0,1.0,0,628.22,0.62822,0.6314841408000089,1.607717041800643,631.4841408000088,0.6367196205151061,1591.7990512877655,0.3967109669333816,0.0
CR_MTI,1,0,1000,1465960.0,1.4659599999999957,0.00806240000000002,536,536,0,0,1.0,0.0,1.0,0,1465.96,1.46596,1.4740223999999957,1.8656716417910448,1474.0223999999957,0.27285874102976887,682.1468525744223,2.1608578775039935,0.0
CPT,1,0,1000,413732.5,0.41373250000000633,0.0020859875000000137,520,376,0,144,0.7230769230769231,0.248,0.876,0,413.7325,0.4137325,0.41581848750000633,1.9230769230769231,415.8184875000063,0.9668082637936347,2417.020659484087,0.17203762237959638,0.0
ECUMI,1,0,1000,460515.0,0.46051500000000767,0.0023300250000000034,655,267,0,388,0.4076335877862595,0.0,1.0,0,460.515,0.460515,0.4628450250000077,1.5267175572519085,462.8450250000077,0.8685927711366622,2171.4819278416553,0.21314707668787855,0.0
ISMTI,1,0,1000,179332.5,0.1793325000000001,0.0015961677,39,38,0,1,0.9743589743589743,0.0,1.0,0,179.3325,0.1793325,0.1809286677000001,25.641025641025642,180.92866770000012,2.2304936361228442,5576.234090307111,0.03244639030031027,0.0
Improve_Two,1,0,1000,146560.0,0.14656,0.0010691569999999998,16,16,0,0,1.0,0.0,1.0,0,146.56,0.14656,0.14762915699999998,62.5,147.62915699999996,2.7292576419213974,6823.144104803494,0.021636529249919996,0.0
CT_MTI,1,2,1000,628220.0,0.6282200000000089,0.003264140800000026,622,552,70,0,0.887459807073955,0.0,1.0,2,628.22,0.62822,0.6314841408000089,1.607717041800643,631.4841408000088,0.6367196205151061,1591.7990512877655,0.3967109669333816,0.11254019292604502
CR_MTI,1,2,1000,1465960.0,1.4659599999999957,0.00806240000000002,536,378,158,0,0.7052238805970149,0.0,1.0,2,1465.96,1.46596,1.4740223999999957,1.8656716417910448,1474.0223999999957,0.27285874102976887,682.1468525744223,2.1608578775039935,0.2947761194029851
CPT,1,2,1000,413732.5,0.41373250000000633,0.0020859875000000137,520,366,10,144,0.7038461538461539,0.228,0.886,2,413.7325,0.4137325,0.41581848750000633,1.9230769230769231,415.8184875000063,0.9668082637936347,2417.020659484087,0.17203762237959638,0.019230769230769232
ECUMI,1,2,1000,460515.0,0.46051500000000767,0.0023300250000000034,655,247,20,388,0.37709923664122136,0.0,1.0,2,460.515,0.460515,0.4628450250000077,1.5267175572519085,462.8450250000077,0.8685927711366622,2171.4819278416553,0.21314707668787855,0.030534351145038167
ISMTI,1,2,1000,179332.5,0.1793325000000001,0.0015961677,39,8,30,1,0.20512820512820512,0.0,1.0,2,179.3325,0.1793325,0.1809286677000001,25.641025641025642,180.92866770000012,2.2304936361228442,5576.234090307111,0.03244639030031027,0.7692307692307693
Improve_Two,1,2,1000,146560.0,0.14656,0.0010691569999999998,16,3,13,0,0.1875,0.0,1.0,2,146.56,0.14656,0.14762915699999998,62.5,147.62915699999996,2.7292576419213974,6823.144104803494,0.021636529249919996,0.8125
CT_MTI,3,2,1000,621150.0,0.6211500000000084,0.0032290392000000247,615,546,69,0,0.8878048780487805,0.0,1.0,2,621.15,0.62115,0.6243790392000085,1.6260162601626016,624.3790392000085,0.6439668357079611,1609.9170892699026,0.38783304019908527,0.11219512195121951
CR_MTI,3,2,1000,1282715.0,1.2827150000000003,0.007054600000000012,469,339,130,0,0.7228144989339019,0.0,1.0,2,1282.715,1.282715,1.2897696000000003,2.1321961620469083,1289.7696000000003,0.31183856117687875,779.5964029421968,1.6544068124640003,0.2771855010660981
CPT,3,2,1000,413877.5,0.4138775000000063,0.002086712500000015,520,364,13,143,0.7,0.22,0.89,2,413.8775,0.4138775,0.4159642125000063,1.9230769230769231,415.9642125000063,0.9664695471486128,2416.173867871532,0.17215822835897138,0.025
ECUMI,3,2,1000,456815.0,0.4568150000000076,0.0023115250000000026,655,244,13,398,0.37251908396946565,0.0,1.0,2,456.815,0.456815,0.45912652500000756,1.5267175572519085,459.1265250000075,0.8756279894486827,2189.0699736217066,0.20973588351787847,0.01984732824427481
ISMTI,3,2,1000,188752.5,0.1887525000000001,0.001685857499999999,41,5,35,1,0.12195121951219512,0.0,1.0,2,188.7525,0.1887525,0.1904383575000001,24.390243902439025,190.4383575000001,2.1191772294406697,5297.943073601675,0.035945716074018766,0.8536585365853658
Improve_Two,3,2,1000,146560.0,0.14656,0.0010711009999999997,16,4,12,0,0.25,0.0,1.0,2,146.56,0.14656,0.147631101,62.5,147.631101,2.7292576419213974,6823.144104803494,0.021636814162559997,0.75
CT_MTI,0,4,1000,601960.0,0.6019600000000072,0.0031320956000000255,596,466,130,0,0.7818791946308725,0.0,1.0,4,601.96,0.60196,0.6050920956000072,1.6778523489932886,605.0920956000073,0.6644959797993222,1661.2399494983054,0.3642412378673804,0.2181208053691275
CR_MTI,0,4,1000,1282715.0,1.2827150000000003,0.007054600000000019,469,211,258,0,0.44989339019189767,0.0,1.0,4,1282.715,1.282715,1.2897696000000003,2.1321961620469083,1289.7696000000003,0.31183856117687875,779.5964029421968,1.6544068124640003,0.5501066098081023
CPT,0,4,1000,413152.5,0.41315250000000636,0.002083087500000015,520,352,20,148,0.676923076923077,0.216,0.892,4,413.1525,0.4131525,0.4152355875000064,1.9230769230769231,415.2355875000064,0.9681655078935745,2420.413769733936,0.17155562106459638,0.038461538461538464
