BER,Algorithm,Recall
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0,Ours (Voting),1.0
0.0,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),0.9988888888888889
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),0.9988888888888889
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),1.0
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),0.9988888888888889
0.0001,Ours (Voting),1.0
0.0001,Baseline (Strict),0.9977777777777778
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9977777777777778
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9966666666666667
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9955555555555555
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9977777777777778
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9977777777777778
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9988888888888889
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9977777777777778
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9977777777777778
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9966666666666667
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9988888888888889
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),1.0
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),1.0
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9955555555555555
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9966666666666667
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9944444444444445
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9977777777777778
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9966666666666667
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9977777777777778
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9944444444444445
0.0005,Ours (Voting),1.0
0.0005,Baseline (Strict),0.9977777777777778
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9944444444444445
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9955555555555555
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9922222222222222
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9966666666666667
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9933333333333333
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9977777777777778
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9944444444444445
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9955555555555555
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9966666666666667
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9977777777777778
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9966666666666667
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9966666666666667
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9944444444444445
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9944444444444445
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9933333333333333
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9966666666666667
0.001,Ours (Voting),1.0
0.001,Baseline (Strict),0.9955555555555555
0.001,Ours (Voting),1.0
