BER,Baseline (Without Voting),Ours (Voting)
0.0,0.0,0.0
0.005,0.5,0.5
0.01,1.0,1.0
0.015,1.5,1.5
0.02,2.0,2.0
0.025,2.5,2.5
0.030000000000000002,3.0000000000000004,3.0000000000000004
0.035,3.500000000000001,3.500000000000001
0.04,4.0,4.0
0.045,4.5,4.5
0.049999999999999996,5.0,5.0
0.05499999999999999,5.499999999999999,5.499999999999999
0.05999999999999999,5.999999999999999,5.999999999999999
0.06499999999999999,6.499999999999998,6.499999999999998
0.06999999999999999,6.999999999999998,6.999999999999998
0.075,7.5,7.5
0.08,8.0,8.0
0.085,8.5,8.5
0.09000000000000001,9.000000000000002,9.000000000000002
0.09500000000000001,9.500000000000002,9.500000000000002
0.10000000000000002,10.000000000000002,10.000000000000002
