BER,Baseline (Without Voting),Ours (Voting)
0.0,1.0,1.0
0.005,0.9812222222222223,0.9998888888888888
0.01,0.9608888888888888,0.9993333333333334
0.015,0.9412222222222223,0.9991111111111112
0.02,0.9250555555555555,0.9977777777777778
0.025,0.9027777777777779,0.9961111111111111
0.030000000000000002,0.8874444444444445,0.9950555555555555
0.035,0.8691666666666666,0.9941666666666666
0.04,0.8460555555555557,0.9911666666666668
0.045,0.8337222222222221,0.9883888888888889
0.049999999999999996,0.8148888888888889,0.9854444444444445
0.05499999999999999,0.7953888888888889,0.9835
0.05999999999999999,0.7776666666666666,0.982
0.06499999999999999,0.7657222222222222,0.976388888888889
0.06999999999999999,0.74,0.9738888888888889
0.075,0.7307777777777777,0.968
0.08,0.7193333333333334,0.9678333333333333
0.085,0.7049444444444444,0.9616111111111112
0.09000000000000001,0.6799999999999999,0.9571111111111111
0.09500000000000001,0.6696666666666666,0.951388888888889
0.10000000000000002,0.6561666666666667,0.9517777777777777
