BER,Baseline (Without Voting),Ours (Voting)
0.0,1000,1000
0.005,1000,1000
0.01,1000,1000
0.015,1000,1000
0.02,1000,1000
0.025,1000,1000
0.030000000000000002,1000,1000
0.035,1000,1000
0.04,1000,1000
0.045,1000,1000
0.049999999999999996,1000,1000
0.05499999999999999,1000,1000
0.05999999999999999,1000,1000
0.06499999999999999,1000,1000
0.06999999999999999,1000,1000
0.075,1000,1000
0.08,1000,1000
0.085,1000,1000
0.09000000000000001,1000,1000
0.09500000000000001,1000,1000
0.10000000000000002,1000,1000
