BER,Baseline (Without Voting),Ours (Voting)
0.0,0.281945,0.14656
0.005,0.281945,0.14656
0.01,0.281945,0.14656
0.015,0.281945,0.14656
0.02,0.281945,0.14656
0.025,0.281945,0.14656
0.030000000000000002,0.281945,0.14656
0.035,0.281945,0.14656
0.04,0.281945,0.14656
0.045,0.281945,0.14656
0.049999999999999996,0.281945,0.14656
0.05499999999999999,0.281945,0.14656
0.05999999999999999,0.281945,0.14656
0.06499999999999999,0.281945,0.14656
0.06999999999999999,0.281945,0.14656
0.075,0.281945,0.14656
0.08,0.281945,0.14656
0.085,0.281945,0.14656
0.09000000000000001,0.281945,0.14656
0.09500000000000001,0.281945,0.14656
0.10000000000000002,0.281945,0.14656
