BER,Baseline (Without Voting),Ours (Voting)
0.0,281.945,146.56
0.005,281.945,146.56
0.01,281.945,146.56
0.015,281.945,146.56
0.02,281.945,146.56
0.025,281.945,146.56
0.030000000000000002,281.945,146.56
0.035,281.945,146.56
0.04,281.945,146.56
0.045,281.945,146.56
0.049999999999999996,281.945,146.56
0.05499999999999999,281.945,146.56
0.05999999999999999,281.945,146.56
0.06499999999999999,281.945,146.56
0.06999999999999999,281.945,146.56
0.075,281.945,146.56
0.08,281.945,146.56
0.085,281.945,146.56
0.09000000000000001,281.945,146.56
0.09500000000000001,281.945,146.56
0.10000000000000002,281.945,146.56
