BER,Baseline (Without Voting),Ours (Voting)
0.0,281945.0,146560.0
0.005,281945.0,146560.0
0.01,281945.0,146560.0
0.015,281945.0,146560.0
0.02,281945.0,146560.0
0.025,281945.0,146560.0
0.030000000000000002,281945.0,146560.0
0.035,281945.0,146560.0
0.04,281945.0,146560.0
0.045,281945.0,146560.0
0.049999999999999996,281945.0,146560.0
0.05499999999999999,281945.0,146560.0
0.05999999999999999,281945.0,146560.0
0.06499999999999999,281945.0,146560.0
0.06999999999999999,281945.0,146560.0
0.075,281945.0,146560.0
0.08,281945.0,146560.0
0.085,281945.0,146560.0
0.09000000000000001,281945.0,146560.0
0.09500000000000001,281945.0,146560.0
0.10000000000000002,281945.0,146560.0
