algorithm_name,run_id,Round,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Time_ms,Recall,Env_Severity,Real_BER,total_time_ms,total_time_s,total_energy_j,edp,collision_rate
Fixed-Fast,0,1,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,1,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,1,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,2,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,2,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,2,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,3,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,3,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,4,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,3,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,5,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,4,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,4,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,6,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,5,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Adaptive,0,6,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,5,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Robust,0,6,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,7,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Fast,0,8,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,7,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Adaptive,0,8,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,8,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Robust,0,7,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,10,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Adaptive,0,9,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Adaptive,0,10,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Robust,0,9,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,11,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,10,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Adaptive,0,11,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Adaptive,0,12,79302.5,0.0793025,0.0,9,0,9,0,0.0,79.3025,1.0,0,0.0,79.3025,0.0793025,0.0793025,0.00628888650625,1.0
Fixed-Fast,0,12,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,11,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,13,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,12,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,9,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Fast,0,14,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,13,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
Fixed-Fast,0,15,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Fast,0,16,73180.0,0.07318000000000001,0.0,8,0,8,0,0.0,73.18,1.0,0,0.0,73.18,0.07318,0.07318000000000001,0.0053553124,1.0
Fixed-Robust,0,14,146560.0,0.14656,0.0,16,0,16,0,0.0,146.56,1.0,0,0.0,146.56,0.14656,0.14656,0.021479833599999998,1.0
