Round,Adaptive,Fixed-Fast,Fixed-Robust
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,9.866357858642206e-05,9.866357858642206e-05,9.866357858642206e-05
53,0.0003942649342761062,0.0003942649342761062,0.0003942649342761062
54,0.000885637463565564,0.000885637463565564,0.000885637463565564
55,0.0015708419435684464,0.0015708419435684464,0.0015708419435684464
56,0.0024471741852423235,0.0024471741852423235,0.0024471741852423235
57,0.003511175705587427,0.003511175705587427,0.003511175705587427
58,0.004758647376699021,0.004758647376699021,0.004758647376699021
59,0.006184665997806821,0.006184665997806821,0.006184665997806821
60,0.007783603724899247,0.007783603724899247,0.007783603724899247
61,0.009549150281252628,0.009549150281252628,0.009549150281252628
62,0.011474337861210538,0.011474337861210538,0.011474337861210538
63,0.013551568628929422,0.013551568628929422,0.013551568628929422
64,0.01577264470356557,0.01577264470356557,0.01577264470356557
65,0.018128800512565515,0.018128800512565515,0.018128800512565515
66,0.02061073738537634,0.02061073738537634,0.02061073738537634
67,0.023208660251050173,0.023208660251050173,0.023208660251050173
68,0.02591231629491424,0.02591231629491424,0.02591231629491424
69,0.02871103542174637,0.02871103542174637,0.02871103542174637
70,0.0315937723657661,0.0315937723657661,0.0315937723657661
71,0.034549150281252626,0.034549150281252626,0.034549150281252626
72,0.037565505641757264,0.037565505641757264,0.037565505641757264
73,0.040630934270713764,0.040630934270713764,0.040630934270713764
74,0.043733338321784776,0.043733338321784776,0.043733338321784776
75,0.046860474023534326,0.046860474023534326,0.046860474023534326
76,0.049999999999999996,0.049999999999999996,0.049999999999999996
77,0.05313952597646568,0.05313952597646568,0.05313952597646568
78,0.056266661678215216,0.056266661678215216,0.056266661678215216
79,0.059369065729286234,0.059369065729286234,0.059369065729286234
80,0.06243449435824275,0.06243449435824275,0.06243449435824275
81,0.06545084971874736,0.06545084971874736,0.06545084971874736
82,0.06840622763423389,0.06840622763423389,0.06840622763423389
83,0.07128896457825364,0.07128896457825364,0.07128896457825364
84,0.07408768370508577,0.07408768370508577,0.07408768370508577
85,0.07679133974894986,0.07679133974894986,0.07679133974894986
86,0.07938926261462365,0.07938926261462365,0.07938926261462365
87,0.08187119948743449,0.08187119948743449,0.08187119948743449
88,0.08422735529643444,0.08422735529643444,0.08422735529643444
89,0.08644843137107057,0.08644843137107057,0.08644843137107057
90,0.08852566213878946,0.08852566213878946,0.08852566213878946
91,0.09045084971874738,0.09045084971874738,0.09045084971874738
92,0.09221639627510075,0.09221639627510075,0.09221639627510075
93,0.09381533400219318,0.09381533400219318,0.09381533400219318
94,0.09524135262330097,0.09524135262330097,0.09524135262330097
95,0.09648882429441258,0.09648882429441258,0.09648882429441258
96,0.09755282581475769,0.09755282581475769,0.09755282581475769
97,0.09842915805643156,0.09842915805643156,0.09842915805643156
98,0.09911436253643445,0.09911436253643445,0.09911436253643445
99,0.0996057350657239,0.0996057350657239,0.0996057350657239
100,0.09990133642141358,0.09990133642141358,0.09990133642141358
101,0.1,0.1,0.1
102,0.09990133642141358,0.09990133642141358,0.09990133642141358
103,0.0996057350657239,0.0996057350657239,0.0996057350657239
104,0.09911436253643444,0.09911436253643444,0.09911436253643444
105,0.09842915805643156,0.09842915805643156,0.09842915805643156
106,0.09755282581475769,0.09755282581475769,0.09755282581475769
107,0.09648882429441258,0.09648882429441258,0.09648882429441258
108,0.09524135262330098,0.09524135262330098,0.09524135262330098
109,0.09381533400219318,0.09381533400219318,0.09381533400219318
110,0.09221639627510077,0.09221639627510077,0.09221639627510077
