Round,Adaptive,Fixed-Fast,Fixed-Robust
1,1.0,1.0,1.0
2,1.0,1.0,1.0
3,1.0,1.0,1.0
4,1.0,1.0,1.0
5,1.0,1.0,1.0
6,1.0,1.0,1.0
7,1.0,1.0,1.0
8,1.0,1.0,1.0
9,1.0,1.0,1.0
10,1.0,1.0,1.0
11,1.0,1.0,1.0
12,1.0,1.0,1.0
13,1.0,1.0,1.0
14,1.0,1.0,1.0
15,1.0,1.0,1.0
16,1.0,1.0,1.0
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,1.0,1.0,1.0
20,1.0,1.0,1.0
21,1.0,1.0,1.0
22,1.0,1.0,1.0
23,1.0,1.0,1.0
24,1.0,1.0,1.0
25,1.0,1.0,1.0
26,1.0,1.0,1.0
27,1.0,1.0,1.0
28,1.0,1.0,1.0
29,1.0,1.0,1.0
30,1.0,1.0,1.0
31,1.0,1.0,1.0
32,1.0,1.0,1.0
33,1.0,1.0,1.0
34,1.0,1.0,1.0
35,1.0,1.0,1.0
36,1.0,1.0,1.0
37,1.0,1.0,1.0
38,1.0,1.0,1.0
39,1.0,1.0,1.0
40,1.0,1.0,1.0
41,1.0,1.0,1.0
42,1.0,1.0,1.0
43,1.0,1.0,1.0
44,1.0,1.0,1.0
45,1.0,1.0,1.0
46,1.0,1.0,1.0
47,1.0,1.0,1.0
48,1.0,1.0,1.0
49,1.0,1.0,1.0
50,1.0,1.0,1.0
51,1.0,1.0,1.0
52,1.0,1.0,1.0
53,1.0,1.0,1.0
54,0.9939879759519038,0.996993987975952,1.0
55,0.9979919678714859,0.9959839357429718,1.0
56,0.9979859013091642,0.9949647532729103,1.0
57,0.9929292929292929,0.9929292929292929,1.0
58,0.9939148073022313,0.9898580121703854,1.0
59,0.9918533604887984,0.9857433808553971,1.0
60,0.984646878198567,0.9948822927328557,1.0
61,0.98559670781893,0.977366255144033,1.0
62,0.9824016563146998,0.9813664596273292,0.9989648033126294
63,0.96875,0.9770833333333333,1.0
64,0.9674711437565582,0.9590766002098636,1.0
65,0.9682875264270613,0.9608879492600423,0.9978858350951374
66,0.9637912673056444,0.9616613418530351,1.0
67,0.9538131041890441,0.9645542427497314,0.9946294307196563
68,0.9512459371614301,0.9404117009750813,0.9967497291440953
69,0.9442013129102844,0.9420131291028446,0.9945295404814004
70,0.9492273730684326,0.9326710816777042,0.9911699779249448
71,0.9420289855072463,0.9342251950947603,0.9933110367892977
72,0.9290540540540541,0.9245495495495496,0.9943693693693694
73,0.9203640500568828,0.9328782707622298,0.9840728100113766
74,0.9321058688147296,0.9171461449942463,0.9953970080552359
75,0.9465116279069767,0.9093023255813953,0.9825581395348837
76,0.9130434782608695,0.8848413631022327,0.9894242068155111
77,0.9120095124851367,0.8834720570749108,0.9785969084423306
78,0.9387019230769231,0.8894230769230769,0.9867788461538461
79,0.9294403892944039,0.8819951338199513,0.9841849148418491
80,0.942189421894219,0.8683886838868389,0.981549815498155
81,0.972636815920398,0.8594527363184079,0.972636815920398
82,0.9333333333333333,0.8742138364779874,0.9723270440251572
83,0.9580686149936467,0.8424396442185514,0.9707750952986023
84,0.9652956298200515,0.8277634961439588,0.974293059125964
85,0.9675324675324676,0.8350649350649351,0.9727272727272728
86,0.9645669291338582,0.8569553805774278,0.968503937007874
87,0.9615894039735099,0.8291390728476821,0.9655629139072848
88,0.9692513368983957,0.8435828877005348,0.9532085561497327
89,0.9581646423751687,0.8178137651821862,0.9568151147098516
90,0.9605442176870749,0.8503401360544217,0.9537414965986395
91,0.9547325102880658,0.8203017832647462,0.9574759945130316
92,0.9585635359116023,0.819060773480663,0.9640883977900553
93,0.9374130737134909,0.7927677329624478,0.9499304589707928
94,0.965034965034965,0.8251748251748252,0.9496503496503497
95,0.9535864978902954,0.8241912798874824,0.9409282700421941
96,0.9562146892655368,0.78954802259887,0.9364406779661016
97,0.9645390070921985,0.8482269503546099,0.9546099290780142
98,0.9502133712660028,0.8435277382645804,0.9431009957325747
99,0.9458689458689459,0.7905982905982906,0.9444444444444444
100,0.9529243937232525,0.7917261055634808,0.948644793152639
101,0.9457142857142857,0.8085714285714286,0.9342857142857143
102,0.9457917261055635,0.7960057061340942,0.9529243937232525
103,0.9487179487179487,0.8091168091168092,0.9558404558404558
104,0.9516358463726885,0.813655761024182,0.9487908961593172
105,0.948936170212766,0.8028368794326242,0.9560283687943263
106,0.9533898305084746,0.7980225988700564,0.96045197740113
107,0.9578059071729957,0.8073136427566807,0.9493670886075949
108,0.9552447552447553,0.8181818181818182,0.9482517482517483
109,0.9694019471488178,0.8136300417246175,0.9680111265646731
110,0.9544198895027625,0.8287292817679558,0.9599447513812155
111,0.9629629629629629,0.8463648834019204,0.9547325102880658
112,0.9482993197278912,0.8299319727891157,0.9619047619047619
113,0.9541160593792173,0.8218623481781376,0.9649122807017544
114,0.9679144385026738,0.8221925133689839,0.963903743315508
115,0.9642384105960264,0.8370860927152318,0.9774834437086093
116,0.9711286089238845,0.8307086614173228,0.9658792650918635
117,0.9727272727272728,0.8649350649350649,0.964935064935065
118,0.9717223650385605,0.8650385604113111,0.9704370179948586
119,0.9758576874205845,0.8678526048284625,0.9695044472681067
120,0.939622641509434,0.8716981132075472,0.9735849056603774
121,0.9490049751243781,0.8619402985074627,0.9751243781094527
122,0.931119311193112,0.8794587945879458,0.981549815498155
123,0.902676399026764,0.8686131386861314,0.9817518248175182
124,0.8990384615384616,0.8858173076923077,0.9807692307692307
