Round,Adaptive,Fixed-Fast,Fixed-Robust
1,79.3025,73.18,146.56
2,79.3025,73.18,146.56
3,79.3025,73.18,146.56
4,79.3025,73.18,146.56
5,79.3025,73.18,146.56
6,79.3025,73.18,146.56
7,79.3025,73.18,146.56
8,79.3025,73.18,146.56
9,79.3025,73.18,146.56
10,79.3025,73.18,146.56
11,79.3025,73.18,146.56
12,79.3025,73.18,146.56
13,79.3025,73.18,146.56
14,79.3025,73.18,146.56
15,79.3025,73.18,146.56
16,79.3025,73.18,146.56
17,79.3025,73.18,146.56
18,79.3025,73.18,146.56
19,79.3025,73.18,146.56
20,79.3025,73.18,146.56
21,79.3025,73.18,146.56
22,79.3025,73.18,146.56
23,79.3025,73.18,146.56
24,79.3025,73.18,146.56
25,79.3025,73.18,146.56
26,79.3025,73.18,146.56
27,79.3025,73.18,146.56
28,79.3025,73.18,146.56
29,79.3025,73.18,146.56
30,79.3025,73.18,146.56
31,79.3025,73.18,146.56
32,79.3025,73.18,146.56
33,79.3025,73.18,146.56
34,79.3025,73.18,146.56
35,79.3025,73.18,146.56
36,79.3025,73.18,146.56
37,79.3025,73.18,146.56
38,79.3025,73.18,146.56
39,79.3025,73.18,146.56
40,79.3025,73.18,146.56
41,79.3025,73.18,146.56
42,79.3025,73.18,146.56
43,79.3025,73.18,146.56
44,79.3025,73.18,146.56
45,79.3025,73.18,146.56
46,79.3025,73.18,146.56
47,79.3025,73.18,146.56
48,79.3025,73.18,146.56
49,79.3025,73.18,146.56
50,79.3025,73.18,146.56
51,79.3025,73.18,146.56
52,79.3025,73.18,146.56
53,79.3025,73.18,146.56
54,79.3025,73.18,146.56
55,79.3025,73.18,146.56
56,79.3025,73.18,146.56
57,79.3025,73.18,146.56
58,79.3025,73.18,146.56
59,79.3025,73.18,146.56
60,79.3025,73.18,146.56
61,79.3025,73.18,146.56
62,79.3025,73.18,146.56
63,79.3025,73.18,146.56
64,79.3025,73.18,146.56
65,79.3025,73.18,146.56
66,79.3025,73.18,146.56
67,79.3025,73.18,146.56
68,79.3025,73.18,146.56
69,79.3025,73.18,146.56
70,79.3025,73.18,146.56
71,79.3025,73.18,146.56
72,79.3025,73.18,146.56
73,79.3025,73.18,146.56
74,79.3025,73.18,146.56
75,91.825,73.18,146.56
76,104.07,73.18,146.56
77,88.625,73.18,146.56
78,116.5925,73.18,146.56
79,113.3925,73.18,146.56
80,116.5925,73.18,146.56
81,144.56,73.18,146.56
82,122.715,73.18,146.56
83,137.2375,73.18,146.56
84,137.2375,73.18,146.56
85,146.56,73.18,146.56
86,146.56,73.18,146.56
87,146.56,73.18,146.56
88,146.56,73.18,146.56
89,146.56,73.18,146.56
90,146.56,73.18,146.56
91,146.56,73.18,146.56
92,146.56,73.18,146.56
93,146.56,73.18,146.56
94,146.56,73.18,146.56
95,146.56,73.18,146.56
96,146.56,73.18,146.56
97,146.56,73.18,146.56
98,146.56,73.18,146.56
99,146.56,73.18,146.56
100,146.56,73.18,146.56
101,146.56,73.18,146.56
102,146.56,73.18,146.56
103,146.56,73.18,146.56
104,146.56,73.18,146.56
105,146.56,73.18,146.56
106,146.56,73.18,146.56
107,146.56,73.18,146.56
108,146.56,73.18,146.56
109,146.56,73.18,146.56
110,146.56,73.18,146.56
111,146.56,73.18,146.56
112,146.56,73.18,146.56
113,146.56,73.18,146.56
114,146.56,73.18,146.56
115,146.56,73.18,146.56
116,146.56,73.18,146.56
117,146.56,73.18,146.56
118,146.56,73.18,146.56
119,144.56,73.18,146.56
120,119.7925,73.18,146.56
121,130.8375,73.18,146.56
122,88.625,73.18,146.56
123,91.825,73.18,146.56
124,87.425,73.18,146.56
125,110.1925,73.18,146.56
126,79.3025,73.18,146.56
127,82.5025,73.18,146.56
128,79.3025,73.18,146.56
129,79.3025,73.18,146.56
130,79.3025,73.18,146.56
131,79.3025,73.18,146.56
132,79.3025,73.18,146.56
133,79.3025,73.18,146.56
134,79.3025,73.18,146.56
135,79.3025,73.18,146.56
136,79.3025,73.18,146.56
137,79.3025,73.18,146.56
138,79.3025,73.18,146.56
139,79.3025,73.18,146.56
140,79.3025,73.18,146.56
141,79.3025,73.18,146.56
142,79.3025,73.18,146.56
143,79.3025,73.18,146.56
144,79.3025,73.18,146.56
145,79.3025,73.18,146.56
146,79.3025,73.18,146.56
147,79.3025,73.18,146.56
148,79.3025,73.18,146.56
149,79.3025,73.18,146.56
150,79.3025,73.18,146.56
151,79.3025,73.18,146.56
152,79.3025,73.18,146.56
153,79.3025,73.18,146.56
154,79.3025,73.18,146.56
155,79.3025,73.18,146.56
156,79.3025,73.18,146.56
157,79.3025,73.18,146.56
158,79.3025,73.18,146.56
159,79.3025,73.18,146.56
160,79.3025,73.18,146.56
161,79.3025,73.18,146.56
162,79.3025,73.18,146.56
163,79.3025,73.18,146.56
164,79.3025,73.18,146.56
165,79.3025,73.18,146.56
166,79.3025,73.18,146.56
167,79.3025,73.18,146.56
168,79.3025,73.18,146.56
169,79.3025,73.18,146.56
170,79.3025,73.18,146.56
171,79.3025,73.18,146.56
172,79.3025,73.18,146.56
173,79.3025,73.18,146.56
174,79.3025,73.18,146.56
175,79.3025,73.18,146.56
176,79.3025,73.18,146.56
177,79.3025,73.18,146.56
178,79.3025,73.18,146.56
179,79.3025,73.18,146.56
180,79.3025,73.18,146.56
181,79.3025,73.18,146.56
182,79.3025,73.18,146.56
183,79.3025,73.18,146.56
184,79.3025,73.18,146.56
185,79.3025,73.18,146.56
186,79.3025,73.18,146.56
187,79.3025,73.18,146.56
188,79.3025,73.18,146.56
189,79.3025,73.18,146.56
190,79.3025,73.18,146.56
191,79.3025,73.18,146.56
192,79.3025,73.18,146.56
193,79.3025,73.18,146.56
194,79.3025,73.18,146.56
195,79.3025,73.18,146.56
196,79.3025,73.18,146.56
197,79.3025,73.18,146.56
198,79.3025,73.18,146.56
199,79.3025,73.18,146.56
200,79.3025,73.18,146.56
