Round,Adaptive,Fixed-Fast,Fixed-Robust
1,9.0,8.0,16.0
2,9.0,8.0,16.0
3,9.0,8.0,16.0
4,9.0,8.0,16.0
5,9.0,8.0,16.0
6,9.0,8.0,16.0
7,9.0,8.0,16.0
8,9.0,8.0,16.0
9,9.0,8.0,16.0
10,9.0,8.0,16.0
11,9.0,8.0,16.0
12,9.0,8.0,16.0
13,9.0,8.0,16.0
14,9.0,8.0,16.0
15,9.0,8.0,16.0
16,9.0,8.0,16.0
17,9.0,8.0,16.0
18,9.0,8.0,16.0
19,9.0,8.0,16.0
20,9.0,8.0,16.0
21,9.0,8.0,16.0
22,9.0,8.0,16.0
23,9.0,8.0,16.0
24,9.0,8.0,16.0
25,9.0,8.0,16.0
26,9.0,8.0,16.0
27,9.0,8.0,16.0
28,9.0,8.0,16.0
29,9.0,8.0,16.0
30,9.0,8.0,16.0
31,9.0,8.0,16.0
32,9.0,8.0,16.0
33,9.0,8.0,16.0
34,9.0,8.0,16.0
35,9.0,8.0,16.0
36,9.0,8.0,16.0
37,9.0,8.0,16.0
38,9.0,8.0,16.0
39,9.0,8.0,16.0
40,9.0,8.0,16.0
41,9.0,8.0,16.0
42,9.0,8.0,16.0
43,9.0,8.0,16.0
44,9.0,8.0,16.0
45,9.0,8.0,16.0
46,9.0,8.0,16.0
47,9.0,8.0,16.0
48,9.0,8.0,16.0
49,9.0,8.0,16.0
50,9.0,8.0,16.0
51,9.0,8.0,16.0
52,9.0,8.0,16.0
53,9.0,8.0,16.0
54,9.0,8.0,16.0
55,9.0,8.0,16.0
56,9.0,8.0,16.0
57,9.0,8.0,16.0
58,9.0,8.0,16.0
59,9.0,8.0,16.0
60,9.0,8.0,16.0
61,9.0,8.0,16.0
62,9.0,8.0,16.0
63,9.0,8.0,16.0
64,9.0,8.0,16.0
65,9.0,8.0,16.0
66,9.0,8.0,16.0
67,9.0,8.0,16.0
68,9.0,8.0,16.0
69,9.0,8.0,16.0
70,9.0,8.0,16.0
71,9.0,8.0,16.0
72,9.0,8.0,16.0
73,9.0,8.0,16.0
74,9.0,8.0,16.0
75,10.0,8.0,16.0
76,12.0,8.0,16.0
77,10.0,8.0,16.0
78,13.0,8.0,16.0
79,13.0,8.0,16.0
80,13.0,8.0,16.0
81,16.0,8.0,16.0
82,14.0,8.0,16.0
83,15.0,8.0,16.0
84,15.0,8.0,16.0
85,16.0,8.0,16.0
86,16.0,8.0,16.0
87,16.0,8.0,16.0
88,16.0,8.0,16.0
89,16.0,8.0,16.0
90,16.0,8.0,16.0
91,16.0,8.0,16.0
92,16.0,8.0,16.0
93,16.0,8.0,16.0
94,16.0,8.0,16.0
95,16.0,8.0,16.0
96,16.0,8.0,16.0
97,16.0,8.0,16.0
98,16.0,8.0,16.0
99,16.0,8.0,16.0
100,16.0,8.0,16.0
101,16.0,8.0,16.0
102,16.0,8.0,16.0
103,16.0,8.0,16.0
104,16.0,8.0,16.0
105,16.0,8.0,16.0
106,16.0,8.0,16.0
107,16.0,8.0,16.0
108,16.0,8.0,16.0
109,16.0,8.0,16.0
110,16.0,8.0,16.0
111,16.0,8.0,16.0
112,16.0,8.0,16.0
113,16.0,8.0,16.0
114,16.0,8.0,16.0
115,16.0,8.0,16.0
116,16.0,8.0,16.0
117,16.0,8.0,16.0
118,16.0,8.0,16.0
119,16.0,8.0,16.0
120,13.0,8.0,16.0
121,15.0,8.0,16.0
122,10.0,8.0,16.0
123,10.0,8.0,16.0
124,10.0,8.0,16.0
125,13.0,8.0,16.0
126,9.0,8.0,16.0
127,9.0,8.0,16.0
128,9.0,8.0,16.0
129,9.0,8.0,16.0
130,9.0,8.0,16.0
131,9.0,8.0,16.0
132,9.0,8.0,16.0
133,9.0,8.0,16.0
134,9.0,8.0,16.0
135,9.0,8.0,16.0
136,9.0,8.0,16.0
137,9.0,8.0,16.0
138,9.0,8.0,16.0
139,9.0,8.0,16.0
140,9.0,8.0,16.0
141,9.0,8.0,16.0
142,9.0,8.0,16.0
143,9.0,8.0,16.0
144,9.0,8.0,16.0
145,9.0,8.0,16.0
146,9.0,8.0,16.0
147,9.0,8.0,16.0
148,9.0,8.0,16.0
149,9.0,8.0,16.0
150,9.0,8.0,16.0
151,9.0,8.0,16.0
152,9.0,8.0,16.0
153,9.0,8.0,16.0
154,9.0,8.0,16.0
155,9.0,8.0,16.0
156,9.0,8.0,16.0
157,9.0,8.0,16.0
158,9.0,8.0,16.0
159,9.0,8.0,16.0
160,9.0,8.0,16.0
161,9.0,8.0,16.0
162,9.0,8.0,16.0
163,9.0,8.0,16.0
164,9.0,8.0,16.0
165,9.0,8.0,16.0
166,9.0,8.0,16.0
167,9.0,8.0,16.0
168,9.0,8.0,16.0
169,9.0,8.0,16.0
170,9.0,8.0,16.0
171,9.0,8.0,16.0
172,9.0,8.0,16.0
173,9.0,8.0,16.0
174,9.0,8.0,16.0
175,9.0,8.0,16.0
176,9.0,8.0,16.0
177,9.0,8.0,16.0
178,9.0,8.0,16.0
179,9.0,8.0,16.0
180,9.0,8.0,16.0
181,9.0,8.0,16.0
182,9.0,8.0,16.0
183,9.0,8.0,16.0
184,9.0,8.0,16.0
185,9.0,8.0,16.0
186,9.0,8.0,16.0
187,9.0,8.0,16.0
188,9.0,8.0,16.0
189,9.0,8.0,16.0
190,9.0,8.0,16.0
191,9.0,8.0,16.0
192,9.0,8.0,16.0
193,9.0,8.0,16.0
194,9.0,8.0,16.0
195,9.0,8.0,16.0
196,9.0,8.0,16.0
197,9.0,8.0,16.0
198,9.0,8.0,16.0
199,9.0,8.0,16.0
200,9.0,8.0,16.0
