Round,Adaptive,Fixed-Fast,Fixed-Robust
1,79302.5,73180.0,146560.0
2,79302.5,73180.0,146560.0
3,79302.5,73180.0,146560.0
4,79302.5,73180.0,146560.0
5,79302.5,73180.0,146560.0
6,79302.5,73180.0,146560.0
7,79302.5,73180.0,146560.0
8,79302.5,73180.0,146560.0
9,79302.5,73180.0,146560.0
10,79302.5,73180.0,146560.0
11,79302.5,73180.0,146560.0
12,79302.5,73180.0,146560.0
13,79302.5,73180.0,146560.0
14,79302.5,73180.0,146560.0
15,79302.5,73180.0,146560.0
16,79302.5,73180.0,146560.0
17,79302.5,73180.0,146560.0
18,79302.5,73180.0,146560.0
19,79302.5,73180.0,146560.0
20,79302.5,73180.0,146560.0
21,79302.5,73180.0,146560.0
22,79302.5,73180.0,146560.0
23,79302.5,73180.0,146560.0
24,79302.5,73180.0,146560.0
25,79302.5,73180.0,146560.0
26,79302.5,73180.0,146560.0
27,79302.5,73180.0,146560.0
28,79302.5,73180.0,146560.0
29,79302.5,73180.0,146560.0
30,79302.5,73180.0,146560.0
31,79302.5,73180.0,146560.0
32,79302.5,73180.0,146560.0
33,79302.5,73180.0,146560.0
34,79302.5,73180.0,146560.0
35,79302.5,73180.0,146560.0
36,79302.5,73180.0,146560.0
37,79302.5,73180.0,146560.0
38,79302.5,73180.0,146560.0
39,79302.5,73180.0,146560.0
40,79302.5,73180.0,146560.0
41,79302.5,73180.0,146560.0
42,79302.5,73180.0,146560.0
43,79302.5,73180.0,146560.0
44,79302.5,73180.0,146560.0
45,79302.5,73180.0,146560.0
46,79302.5,73180.0,146560.0
47,79302.5,73180.0,146560.0
48,79302.5,73180.0,146560.0
49,79302.5,73180.0,146560.0
50,79302.5,73180.0,146560.0
51,79302.5,73180.0,146560.0
52,79302.5,73180.0,146560.0
53,79302.5,73180.0,146560.0
54,79302.5,73180.0,146560.0
55,79302.5,73180.0,146560.0
56,79302.5,73180.0,146560.0
57,79302.5,73180.0,146560.0
58,79302.5,73180.0,146560.0
59,79302.5,73180.0,146560.0
60,79302.5,73180.0,146560.0
61,79302.5,73180.0,146560.0
62,79302.5,73180.0,146560.0
63,79302.5,73180.0,146560.0
64,79302.5,73180.0,146560.0
65,79302.5,73180.0,146560.0
66,79302.5,73180.0,146560.0
67,79302.5,73180.0,146560.0
68,79302.5,73180.0,146560.0
69,79302.5,73180.0,146560.0
70,79302.5,73180.0,146560.0
71,79302.5,73180.0,146560.0
72,79302.5,73180.0,146560.0
73,79302.5,73180.0,146560.0
74,79302.5,73180.0,146560.0
75,91825.0,73180.0,146560.0
76,104070.0,73180.0,146560.0
77,88625.0,73180.0,146560.0
78,116592.5,73180.0,146560.0
79,113392.5,73180.0,146560.0
80,116592.5,73180.0,146560.0
81,144560.0,73180.0,146560.0
82,122715.0,73180.0,146560.0
83,137237.5,73180.0,146560.0
84,137237.5,73180.0,146560.0
85,146560.0,73180.0,146560.0
86,146560.0,73180.0,146560.0
87,146560.0,73180.0,146560.0
88,146560.0,73180.0,146560.0
89,146560.0,73180.0,146560.0
90,146560.0,73180.0,146560.0
91,146560.0,73180.0,146560.0
92,146560.0,73180.0,146560.0
93,146560.0,73180.0,146560.0
94,146560.0,73180.0,146560.0
95,146560.0,73180.0,146560.0
96,146560.0,73180.0,146560.0
97,146560.0,73180.0,146560.0
98,146560.0,73180.0,146560.0
99,146560.0,73180.0,146560.0
100,146560.0,73180.0,146560.0
101,146560.0,73180.0,146560.0
102,146560.0,73180.0,146560.0
103,146560.0,73180.0,146560.0
104,146560.0,73180.0,146560.0
105,146560.0,73180.0,146560.0
106,146560.0,73180.0,146560.0
107,146560.0,73180.0,146560.0
108,146560.0,73180.0,146560.0
109,146560.0,73180.0,146560.0
110,146560.0,73180.0,146560.0
111,146560.0,73180.0,146560.0
112,146560.0,73180.0,146560.0
113,146560.0,73180.0,146560.0
114,146560.0,73180.0,146560.0
115,146560.0,73180.0,146560.0
116,146560.0,73180.0,146560.0
117,146560.0,73180.0,146560.0
118,146560.0,73180.0,146560.0
119,144560.0,73180.0,146560.0
120,119792.5,73180.0,146560.0
121,130837.5,73180.0,146560.0
122,88625.0,73180.0,146560.0
123,91825.0,73180.0,146560.0
124,87425.0,73180.0,146560.0
125,110192.5,73180.0,146560.0
126,79302.5,73180.0,146560.0
127,82502.5,73180.0,146560.0
128,79302.5,73180.0,146560.0
129,79302.5,73180.0,146560.0
130,79302.5,73180.0,146560.0
131,79302.5,73180.0,146560.0
132,79302.5,73180.0,146560.0
133,79302.5,73180.0,146560.0
134,79302.5,73180.0,146560.0
135,79302.5,73180.0,146560.0
136,79302.5,73180.0,146560.0
137,79302.5,73180.0,146560.0
138,79302.5,73180.0,146560.0
139,79302.5,73180.0,146560.0
140,79302.5,73180.0,146560.0
141,79302.5,73180.0,146560.0
142,79302.5,73180.0,146560.0
143,79302.5,73180.0,146560.0
144,79302.5,73180.0,146560.0
145,79302.5,73180.0,146560.0
146,79302.5,73180.0,146560.0
147,79302.5,73180.0,146560.0
148,79302.5,73180.0,146560.0
149,79302.5,73180.0,146560.0
150,79302.5,73180.0,146560.0
151,79302.5,73180.0,146560.0
152,79302.5,73180.0,146560.0
153,79302.5,73180.0,146560.0
154,79302.5,73180.0,146560.0
155,79302.5,73180.0,146560.0
156,79302.5,73180.0,146560.0
157,79302.5,73180.0,146560.0
158,79302.5,73180.0,146560.0
159,79302.5,73180.0,146560.0
160,79302.5,73180.0,146560.0
161,79302.5,73180.0,146560.0
162,79302.5,73180.0,146560.0
163,79302.5,73180.0,146560.0
164,79302.5,73180.0,146560.0
165,79302.5,73180.0,146560.0
166,79302.5,73180.0,146560.0
167,79302.5,73180.0,146560.0
168,79302.5,73180.0,146560.0
169,79302.5,73180.0,146560.0
170,79302.5,73180.0,146560.0
171,79302.5,73180.0,146560.0
172,79302.5,73180.0,146560.0
173,79302.5,73180.0,146560.0
174,79302.5,73180.0,146560.0
