algorithm_name,run_id,TOTAL_TAGS,Drift_Rate,total_time_us,total_reader_energy_j,total_tag_energy_j,total_slots,success_slots,collision_slots,idle_slots,phy_efficiency,Recall,Goodput,Drift_Percent,total_time_ms,total_time_s,total_energy_j,verification_concurrency,energy_per_tag_uj,time_efficiency_index,throughput,edp,collision_rate
LODS-MTI (Adaptive),0,1000,0.0,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),0,1000,0.0,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.0,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),1,1000,0.0,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),2,1000,0.0,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),1,1000,0.0,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.0,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),2,1000,0.0,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.0,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-MTI (Adaptive),3,1000,0.0,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),4,1000,0.0,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-MTI (Adaptive),5,1000,0.0,146560.0,0.14656,0.0,16,0,16,0,0.0,1.0,3411.572052401747,0.0,146.56,0.14656,0.14656,62.5,146.56,2.7292576419213974,6823.144104803494,0.021479833599999998,1.0
LODS-Fixed-128 (Stress),3,1000,0.0,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.0,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
LODS-Fixed-128 (Stress),4,1000,0.0,193545.0,0.19354500000000005,0.0,32,0,32,0,0.0,1.0,2583.3785424578264,0.0,193.545,0.193545,0.19354500000000005,31.25,193.54500000000004,2.066702833966261,5166.757084915653,0.03745966702500001,1.0
