Drift_Rate,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,2583.3785424578264,3417.3657276833787
0.0005,2583.3785424578264,3417.3657276833787
0.001,2583.3785424578264,3417.3657276833787
0.0015,2583.3785424578264,3417.3657276833787
0.002,2583.3785424578264,3304.960425764192
0.0025,2583.3785424578264,2691.9009279475986
0.003,2583.3785424578264,2233.726801310044
0.0035,2583.3785424578264,1907.751091703057
0.004,2499.289570900824,2102.811523296335
0.0045000000000000005,2260.068717869229,1925.0839749928468
0.005000000000000001,2023.6895812343384,1715.3882833306295
