Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.002,1.0,1.0,1.0,1.0,1.0,0.9813333333333333,0.9986666666666667
0.004,1.0,1.0,1.0,1.0,1.0,0.48733333333333334,0.9406666666666667
0.006,1.0,1.0,1.0,1.0,0.6826666666666666,0.3213333333333333,0.6333333333333333
0.008,1.0,1.0,1.0,1.0,0.3953333333333333,0.23866666666666667,0.458
0.01,1.0,1.0,1.0,1.0,0.278,0.19533333333333333,0.36933333333333335
0.012,1.0,1.0,1.0,1.0,0.20000000000000004,0.15466666666666667,0.308
0.014,1.0,1.0,1.0,1.0,0.166,0.132,0.2793333333333333
0.016,1.0,0.23399999999999999,1.0,1.0,0.14333333333333334,0.11466666666666665,0.242
0.018,1.0,0.025333333333333333,1.0,1.0,0.106,0.102,0.20933333333333334
0.02,1.0,0.010666666666666666,1.0,1.0,0.09800000000000002,0.09533333333333334,0.18600000000000003
