Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,134.33333333333334,1684.0,0.0,460.6666666666667,1.3333333333333333,0.0,0.0
0.002,134.33333333333334,1684.0,0.0,460.6666666666667,1.3333333333333333,0.0,0.0
0.004,134.33333333333334,1684.0,0.0,460.6666666666667,1.3333333333333333,0.0,0.0
0.006,134.33333333333334,1684.0,0.0,460.6666666666667,1.0,0.0,0.0
0.008,134.33333333333334,1684.0,0.0,460.6666666666667,1.0,0.0,0.0
0.01,134.33333333333334,1684.0,0.0,460.6666666666667,1.0,0.0,0.0
0.012,134.33333333333334,1684.0,0.0,460.6666666666667,1.0,0.0,0.0
0.014,134.33333333333334,1684.0,0.0,460.6666666666667,1.0,0.0,0.0
0.016,134.33333333333334,4710.666666666667,0.0,460.6666666666667,1.0,0.0,0.0
0.018,134.33333333333334,4710.666666666667,0.0,460.6666666666667,1.0,0.0,0.0
0.02,134.33333333333334,4710.666666666667,0.0,460.6666666666667,1.0,0.0,0.0
