Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,514.0,3557.3333333333335,620.3333333333334,731.0,43.0,8.0,29.666666666666668
0.002,514.0,3557.3333333333335,620.3333333333334,731.0,43.0,8.0,29.666666666666668
0.004,514.0,3557.3333333333335,620.3333333333334,731.0,43.0,8.0,30.666666666666668
0.006,514.0,3557.3333333333335,620.3333333333334,731.0,36.333333333333336,8.0,31.0
0.008,514.0,3557.3333333333335,620.3333333333334,731.0,30.333333333333332,8.0,31.0
0.01,514.0,3557.3333333333335,620.3333333333334,731.0,25.666666666666668,8.0,31.0
0.012,514.0,3557.3333333333335,620.3333333333334,731.0,24.333333333333332,8.0,30.333333333333332
0.014,514.0,3557.3333333333335,620.3333333333334,731.0,24.666666666666668,8.0,31.0
0.016,514.0,10005.0,620.3333333333334,731.0,20.0,8.0,31.0
0.018,514.0,10005.0,620.3333333333334,731.0,21.0,8.0,30.0
0.02,514.0,10005.0,620.3333333333334,731.0,20.333333333333332,8.0,30.0
