Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,410.12416666666667,6706.526666666668,626.5366666666667,503.7383333333334,195.1075,73.18,184.28416666666666
0.002,410.12416666666667,6706.526666666668,626.5366666666667,503.7383333333334,195.1075,73.18,184.28416666666666
0.004,410.12416666666667,6706.526666666668,626.5366666666667,503.7383333333334,195.1075,73.18,188.95666666666668
0.006,410.12416666666667,6706.526666666668,626.5366666666667,503.7383333333334,162.10999999999999,73.18,190.61
0.008,410.12416666666667,6706.526666666668,626.5366666666667,503.7383333333334,132.61666666666667,73.18,190.61
0.01,410.12416666666667,6706.526666666668,626.5366666666667,503.7383333333334,110.59083333333335,73.18,190.61
0.012,410.12416666666667,6706.526666666668,626.5366666666667,503.7383333333334,103.6275,73.18,187.05333333333337
0.014,410.12416666666667,6706.526666666668,626.5366666666667,503.7383333333334,104.10166666666667,73.18,190.61
0.016,410.12416666666667,18908.028333333335,626.5366666666667,503.7383333333334,84.11749999999999,73.18,190.61
0.018,410.12416666666667,18908.028333333335,626.5366666666667,503.7383333333334,87.61083333333333,73.18,185.54583333333335
0.02,410.12416666666667,18908.028333333335,626.5366666666667,503.7383333333334,84.70833333333333,73.18,185.54583333333335
