Drift_Rate,CPT,CR-MTI,CTMTI,ECUMI,ISMTI,LODS-Fixed-128 (Stress),LODS-MTI (Adaptive)
0.0,410124.1666666667,6706526.666666667,626536.6666666666,503738.3333333333,195107.5,73180.0,184284.16666666666
0.002,410124.1666666667,6706526.666666667,626536.6666666666,503738.3333333333,195107.5,73180.0,184284.16666666666
0.004,410124.1666666667,6706526.666666667,626536.6666666666,503738.3333333333,195107.5,73180.0,188956.66666666666
0.006,410124.1666666667,6706526.666666667,626536.6666666666,503738.3333333333,162110.0,73180.0,190610.0
0.008,410124.1666666667,6706526.666666667,626536.6666666666,503738.3333333333,132616.66666666666,73180.0,190610.0
0.01,410124.1666666667,6706526.666666667,626536.6666666666,503738.3333333333,110590.83333333333,73180.0,190610.0
0.012,410124.1666666667,6706526.666666667,626536.6666666666,503738.3333333333,103627.5,73180.0,187053.33333333334
0.014,410124.1666666667,6706526.666666667,626536.6666666666,503738.3333333333,104101.66666666667,73180.0,190610.0
0.016,410124.1666666667,18908028.333333332,626536.6666666666,503738.3333333333,84117.5,73180.0,190610.0
0.018,410124.1666666667,18908028.333333332,626536.6666666666,503738.3333333333,87610.83333333333,73180.0,185545.83333333334
0.02,410124.1666666667,18908028.333333332,626536.6666666666,503738.3333333333,84708.33333333333,73180.0,185545.83333333334
