Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,0.06,,,,,,,,,,,,
0.05,,0.06,,,,,,,,,,,
0.1,,,0.06,,,,,,,,,,
0.15,,,,0.06,,,,,,,,,
0.2,,,,,0.06,,,,,,,,
0.25,,,,,,0.06,,,,,,,
0.3,,,,,,,0.06,,,,,,
0.35,,,,,,,,0.06,,,,,
0.4,,,,,,,,,0.06,,,,
0.45,,,,,,,,,,0.06,,,
0.5,,,,,,,,,,,0.06,,
0.55,,,,,,,,,,,,0.06,
0.6,,,,,,,,,,,,,0.06
