Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,2589.91583544349,,,,,,,,,,,,
0.05,,2596.129003150594,,,,,,,,,,,
0.1,,,2590.5560964940314,,,,,,,,,,
0.15,,,,2584.6519115778738,,,,,,,,,
0.2,,,,,2591.050355204875,,,,,,,,
0.25,,,,,,2602.7964936319618,,,,,,,
0.3,,,,,,,2593.7312051453373,,,,,,
0.35,,,,,,,,2656.4363560099832,,,,,
0.4,,,,,,,,,2615.5228787014566,,,,
0.45,,,,,,,,,,2769.832907292231,,,
0.5,,,,,,,,,,,3014.1318024875663,,
0.55,,,,,,,,,,,,3461.4494148703875,
0.6,,,,,,,,,,,,,4720.21310081
