Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,0.9795999999999999,,,,,,,,,,,,
0.05,,0.9804,,,,,,,,,,,
0.1,,,0.9814,,,,,,,,,,
0.15,,,,0.9792,,,,,,,,,
0.2,,,,,0.9815999999999999,,,,,,,,
0.25,,,,,,0.9814,,,,,,,
0.3,,,,,,,0.9826,,,,,,
0.35,,,,,,,,0.9802,,,,,
0.4,,,,,,,,,0.9746,,,,
0.45,,,,,,,,,,0.967,,,
0.5,,,,,,,,,,,0.9612,,
0.55,,,,,,,,,,,,0.9388,
0.6,,,,,,,,,,,,,0.9156000000000001
