Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,1000.0,,,,,,,,,,,,
0.05,,1000.0,,,,,,,,,,,
0.1,,,1000.0,,,,,,,,,,
0.15,,,,1000.0,,,,,,,,,
0.2,,,,,1000.0,,,,,,,,
0.25,,,,,,1000.0,,,,,,,
0.3,,,,,,,1000.0,,,,,,
0.35,,,,,,,,1000.0,,,,,
0.4,,,,,,,,,1000.0,,,,
0.45,,,,,,,,,,1000.0,,,
0.5,,,,,,,,,,,1000.0,,
0.55,,,,,,,,,,,,1000.0,
0.6,,,,,,,,,,,,,1000.0
