Tolerance_Threshold,LODS (eps=0.00),LODS (eps=0.05),LODS (eps=0.10),LODS (eps=0.15),LODS (eps=0.20),LODS (eps=0.25),LODS (eps=0.30),LODS (eps=0.35),LODS (eps=0.40),LODS (eps=0.45),LODS (eps=0.50),LODS (eps=0.55),LODS (eps=0.60)
0.0,0.03577876170750001,,,,,,,,,,,,
0.05,,0.035669457905000014,,,,,,,,,,,
0.1,,,0.035887127197500014,,,,,,,,,,
0.15,,,,0.03588806551000001,,,,,,,,,
0.2,,,,,0.035889788355000014,,,,,,,,
0.25,,,,,,0.03555843125750001,,,,,,,
0.3,,,,,,,0.035889788355000014,,,,,,
0.35,,,,,,,,0.03417016648875001,,,,,
0.4,,,,,,,,,0.034827372060625014,,,,
0.45,,,,,,,,,,0.03077908640437501,,,
0.5,,,,,,,,,,,0.02559812054437501,,
0.55,,,,,,,,,,,,0.018916639405625,
0.6,,,,,,,,,,,,,0.009675035662500001
